"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Jason Day",11800,"Golf@Golf 03/15/2018 06:00AM ET",93.75,"Golf"
"G","Justin Rose",11500,"Golf@Golf 03/15/2018 06:00AM ET",94.556,"Golf"
"G","Rory McIlroy",10700,"Golf@Golf 03/15/2018 06:00AM ET",73,"Golf"
"G","Rickie Fowler",10300,"Golf@Golf 03/15/2018 06:00AM ET",79.357,"Golf"
"G","Tiger Woods",10000,"Golf@Golf 03/15/2018 06:00AM ET",66.3,"Golf"
"G","Hideki Matsuyama",9700,"Golf@Golf 03/15/2018 06:00AM ET",79.5,"Golf"
"G","Tommy Fleetwood",9500,"Golf@Golf 03/15/2018 06:00AM ET",90.962,"Golf"
"G","Alexander Noren",9200,"Golf@Golf 03/15/2018 06:00AM ET",77.05,"Golf"
"G","Henrik Stenson",9100,"Golf@Golf 03/15/2018 06:00AM ET",73.571,"Golf"
"G","Tyrrell Hatton",9000,"Golf@Golf 03/15/2018 06:00AM ET",96.15,"Golf"
"G","Patrick Reed",8900,"Golf@Golf 03/15/2018 06:00AM ET",67.167,"Golf"
"G","Adam Scott",8700,"Golf@Golf 03/15/2018 06:00AM ET",54.429,"Golf"
"G","Bubba Watson",8600,"Golf@Golf 03/15/2018 06:00AM ET",75.214,"Golf"
"G","Brian Harman",8500,"Golf@Golf 03/15/2018 06:00AM ET",81.722,"Golf"
"G","Marc Leishman",8400,"Golf@Golf 03/15/2018 06:00AM ET",77.389,"Golf"
"G","Brandt Snedeker",8300,"Golf@Golf 03/15/2018 06:00AM ET",59.143,"Golf"
"G","Louis Oosthuizen",8200,"Golf@Golf 03/15/2018 06:00AM ET",71.083,"Golf"
"G","Luke List",8100,"Golf@Golf 03/15/2018 06:00AM ET",66.875,"Golf"
"G","Jason Kokrak",8000,"Golf@Golf 03/15/2018 06:00AM ET",73.773,"Golf"
"G","Jamie Lovemark",8000,"Golf@Golf 03/15/2018 06:00AM ET",54.136,"Golf"
"G","Kiradech Aphibarnrat",7900,"Golf@Golf 03/15/2018 06:00AM ET",84.792,"Golf"
"G","Cameron Smith",7800,"Golf@Golf 03/15/2018 06:00AM ET",87.444,"Golf"
"G","Jimmy Walker",7800,"Golf@Golf 03/15/2018 06:00AM ET",49.688,"Golf"
"G","Zach Johnson",7700,"Golf@Golf 03/15/2018 06:00AM ET",78.357,"Golf"
"G","Byeong-Hun An",7700,"Golf@Golf 03/15/2018 06:00AM ET",62.864,"Golf"
"G","Ryan Moore",7700,"Golf@Golf 03/15/2018 06:00AM ET",57.786,"Golf"
"G","Scott Stallings",7700,"Golf@Golf 03/15/2018 06:00AM ET",62.083,"Golf"
"G","Emiliano Grillo",7600,"Golf@Golf 03/15/2018 06:00AM ET",70.833,"Golf"
"G","Russell Knox",7600,"Golf@Golf 03/15/2018 06:00AM ET",66.682,"Golf"
"G","James Hahn",7600,"Golf@Golf 03/15/2018 06:00AM ET",76.222,"Golf"
"G","Martin Laird",7600,"Golf@Golf 03/15/2018 06:00AM ET",57.063,"Golf"
"G","Lucas Glover",7500,"Golf@Golf 03/15/2018 06:00AM ET",61.45,"Golf"
"G","Charles Howell",7500,"Golf@Golf 03/15/2018 06:00AM ET",66.045,"Golf"
"G","Scott Piercy",7500,"Golf@Golf 03/15/2018 06:00AM ET",70.938,"Golf"
"G","Shane Lowry",7500,"Golf@Golf 03/15/2018 06:00AM ET",60.583,"Golf"
"G","Matthew Fitzpatrick",7400,"Golf@Golf 03/15/2018 06:00AM ET",76,"Golf"
"G","Ollie Schniederjans",7400,"Golf@Golf 03/15/2018 06:00AM ET",66.8,"Golf"
"G","Chris Kirk",7400,"Golf@Golf 03/15/2018 06:00AM ET",63.375,"Golf"
"G","William McGirt",7400,"Golf@Golf 03/15/2018 06:00AM ET",61,"Golf"
"G","Graeme McDowell",7400,"Golf@Golf 03/15/2018 06:00AM ET",49.5,"Golf"
"G","Ian Poulter",7400,"Golf@Golf 03/15/2018 06:00AM ET",58.35,"Golf"
"G","Kevin Chappell",7300,"Golf@Golf 03/15/2018 06:00AM ET",74.5,"Golf"
"G","Francesco Molinari",7300,"Golf@Golf 03/15/2018 06:00AM ET",71.111,"Golf"
"G","Patton Kizzire",7300,"Golf@Golf 03/15/2018 06:00AM ET",78.864,"Golf"
"G","Charl Schwartzel",7300,"Golf@Golf 03/15/2018 06:00AM ET",63.389,"Golf"
"G","Keegan Bradley",7300,"Golf@Golf 03/15/2018 06:00AM ET",62.944,"Golf"
"G","Patrick Rodgers",7300,"Golf@Golf 03/15/2018 06:00AM ET",49.731,"Golf"
"G","Beau Hossler",7300,"Golf@Golf 03/15/2018 06:00AM ET",61.042,"Golf"
"G","Stewart Cink",7300,"Golf@Golf 03/15/2018 06:00AM ET",62.6,"Golf"
"G","Danny Willett",7300,"Golf@Golf 03/15/2018 06:00AM ET",42.3,"Golf"
"G","Sam Burns",7200,"Golf@Golf 03/15/2018 06:00AM ET",62.9,"Golf"
