RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,3,Justin Rose,12,3.24,68,21
2,7,Webb Simpson,16,2.88,75,26
3,8,Charles Howell III,34,2.84,156,55
4,6,Marc Leishman,24,2.82,124,44
5,9,Lucas Glover,26,2.81,118,42
T6,5,Matt Kuchar,28,2.71,133,49
T6,10,Justin Thomas,24,2.71,133,49
8,2,Bryson DeChambeau,16,2.69,86,32
9,T12,Rickie Fowler,16,2.50,85,34
T10,11,Xander Schauffele,28,2.47,131,53
T10,T15,Gary Woodland,31,2.47,168,68
12,1,Louis Oosthuizen,10,2.44,44,18
13,4,Phil Mickelson,18,2.42,92,38
14,T12,Jon Rahm,24,2.38,112,47
T15,17,Patrick Cantlay,22,2.27,102,45
T15,18,Talor Gooch,21,2.27,100,44
T17,20,Kevin Chappell,12,2.24,56,25
T17,T24,Si Woo Kim,36,2.24,179,80
19,14,Harold Varner III,30,2.23,134,60
T20,T15,Abraham Ancer,32,2.19,138,63
T20,T22,Matt Every,12,2.19,59,27
22,27,Scott Piercy,38,2.16,175,81
23,28,Jason Day,20,2.15,103,48
T24,T29,Nate Lashley,20,2.09,90,43
T24,T29,D.J. Trahan,15,2.09,69,33
T24,19,Kevin Tway,30,2.09,119,57
27,T45,Rory McIlroy,16,2.03,69,34
28,T34,Dominic Bozzelli,27,2.02,133,66
T29,T40,Corey Conners,24,1.98,103,52
T29,T40,Ryan Palmer,26,1.98,125,63
T31,T24,Jim Furyk,16,1.97,61,31
T31,44,Graeme McDowell,18,1.97,77,39
T31,T22,Andrew Putnam,32,1.97,144,73
34,T45,Steve Marino,12,1.96,53,27
35,T31,Tony Finau,26,1.94,122,63
T36,T50,Jonathan Byrd,19,1.93,79,41
T36,T50,Emiliano Grillo,32,1.93,145,75
T36,T40,Michael Thompson,26,1.93,118,61
T39,T53,Zach Johnson,16,1.92,71,37
T39,T53,Troy Merritt,22,1.92,96,50
41,T60,Nick Watney,33,1.90,146,77
T42,62,Roberto Castro,26,1.89,106,56
T42,33,Scott Langley,34,1.89,144,76
T42,T31,Chez Reavie,38,1.89,172,91
T45,T34,Bud Cauley,27,1.88,122,65
T45,T38,Sungjae Im,41,1.88,182,97
T45,T63,Kevin Kisner,22,1.88,90,48
T48,T45,Paul Casey,26,1.87,116,62
T48,T65,Brooks Koepka,12,1.87,58,31
50,T45,Cameron Champ,39,1.86,199,107
51,T57,J.J. Spaun,39,1.84,158,86
T52,T24,Anirban Lahiri,21,1.83,86,47
T52,T57,J.T. Poston,36,1.83,157,86
T54,T50,Jason Kokrak,28,1.81,132,73
T54,49,Danny Lee,28,1.81,132,73
T54,T57,Luke List,23,1.81,103,57
T54,T36,Aaron Wise,19,1.81,96,53
T58,T73,Hideki Matsuyama,24,1.80,101,56
T58,T40,Cameron Smith,28,1.80,128,71
60,T73,Richy Werenski,32,1.79,134,75
61,T75,Patrick Reed,20,1.78,89,50
62,T78,Billy Horschel,28,1.76,109,62
T63,T71,Rafa Cabrera Bello,20,1.75,91,52
T63,T65,Joel Dahmen,36,1.75,156,89
T63,T65,Denny McCarthy,29,1.75,121,69
T63,T75,Vaughn Taylor,32,1.75,140,80
T67,81,Russell Knox,26,1.74,101,58
T67,T53,Sam Ryder,36,1.74,153,88
T67,T71,Robert Streb,30,1.74,122,70
T70,T53,Aaron Baddeley,23,1.73,88,51
T70,T82,Wyndham Clark,31,1.73,144,83
T70,T94,Dustin Johnson,16,1.73,64,37
T70,T63,Hudson Swafford,32,1.73,133,77
T74,T103,J.B. Holmes,29,1.72,127,74
T74,84,Ian Poulter,16,1.72,67,39
T74,T60,Jhonattan Vegas,26,1.72,103,60
T77,T65,Ryan Armour,34,1.71,135,79
T77,T85,Beau Hossler,34,1.71,152,89
T79,T36,Ernie Els,24,1.70,85,50
