RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
1,1,Phil Mickelson,18,25.41,47,185
2,T6,Rickie Fowler,16,25.00,43,172
3,8,Justin Rose,12,24.17,29,120
4,3,Tyrrell Hatton,14,23.97,35,146
5,T6,Justin Thomas,24,23.85,62,260
6,2,Patrick Cantlay,22,23.68,54,228
7,10,Jason Day,20,23.65,48,203
8,15,Jason Kokrak,28,23.63,69,292
T9,T12,Ryan Palmer,26,23.60,63,267
T9,T12,Webb Simpson,16,23.60,42,178
T11,5,Bryson DeChambeau,16,23.33,42,180
T11,16,Shubhankar Sharma,12,23.33,28,120
13,4,Rafa Cabrera Bello,20,23.15,47,203
14,9,Cameron Smith,28,22.97,68,296
15,14,Si Woo Kim,36,22.81,86,377
16,18,Dominic Bozzelli,27,22.68,66,291
T17,T19,Talor Gooch,21,22.58,49,217
T17,T19,Brooks Koepka,12,22.58,28,124
19,24,J.B. Holmes,29,22.26,67,301
20,11,Aaron Wise,19,22.06,45,204
21,27,Danny Lee,28,21.85,66,302
22,31,Corey Conners,24,21.79,56,257
23,33,Jonathan Byrd,19,21.54,42,195
24,34,Stewart Cink,20,21.50,46,214
25,22,Andrew Putnam,32,21.49,72,335
26,25,Marc Leishman,24,21.48,55,256
27,37,Chesson Hadley,28,21.45,62,289
28,23,Charles Howell III,34,21.43,78,364
29,39,Lucas Glover,26,21.40,58,271
30,17,Abraham Ancer,32,21.35,73,342
31,40,Byeong Hun An,16,21.34,35,164
32,46,Scott Piercy,38,21.09,85,403
33,26,"Ted Potter, Jr.",31,21.02,70,333
34,48,Nate Lashley,20,20.98,43,205
35,47,Beau Hossler,34,20.96,74,353
36,41,Chez Reavie,38,20.91,83,397
37,30,Tony Finau,26,20.88,57,273
38,38,Cameron Champ,39,20.76,87,419
39,36,Curtis Luck,22,20.70,47,227
40,35,Harold Varner III,30,20.63,66,320
41,32,Brian Gay,39,20.53,86,419
42,52,Gary Woodland,31,20.48,68,332
43,62,Chase Wright,32,20.41,70,343
44,28,Anirban Lahiri,21,20.35,46,226
45,43,C.T. Pan,34,20.34,72,354
46,53,Roger Sloan,27,20.21,58,287
47,T55,Hank Lebioda,23,20.16,49,243
T48,61,Matt Every,12,20.00,25,125
T48,58,Sungjae Im,41,20.00,87,435
50,63,Patrick Reed,20,19.91,42,211
51,64,Graeme McDowell,18,19.90,38,191
52,65,Zach Johnson,16,19.89,35,176
53,51,Matt Kuchar,28,19.87,61,307
54,67,Tom Lovelady,13,19.85,26,131
55,49,Brandon Harkins,35,19.84,74,373
T56,69,Kevin Kisner,22,19.67,47,239
T56,70,Luke List,23,19.67,48,244
58,T97,Rory McIlroy,16,19.64,33,168
59,21,Louis Oosthuizen,10,19.61,20,102
60,80,Jonas Blixt,32,19.58,66,337
61,T55,Xander Schauffele,28,19.52,57,292
T62,71,Alex Noren,14,19.44,28,144
T62,54,Jon Rahm,24,19.44,49,252
64,66,Keith Mitchell,29,19.42,60,309
65,76,David Hearn,21,19.28,43,223
66,87,J.T. Poston,36,19.27,74,384
67,42,Jordan Spieth,20,19.25,41,213
68,75,Vaughn Taylor,32,19.17,65,339
69,57,Sam Ryder,36,19.11,73,382
70,68,Aaron Baddeley,23,19.09,46,241
71,T82,Jason Gore,10,19.05,20,105
72,60,Scott Langley,34,19.01,69,363
73,45,Peter Uihlein,28,18.98,56,295
74,74,Anders Albertson,31,18.96,62,327
75,81,Peter Malnati,27,18.95,54,285
76,84,Tom Hoge,34,18.94,68,359
77,29,Robert Garrigus,18,18.92,35,185
78,100,Adam Scott,21,18.89,41,217
79,T95,Whee Kim,35,18.85,69,366
80,50,Joaquin Niemann,32,18.82,64,340
81,59,Russell Henley,28,18.81,57,303
82,T88,Wyndham Clark,31,18.77,61,325
83,78,Michael Thompson,26,18.68,51,273
84,T95,Roberto Castro,26,18.59,50,269
85,T97,Kevin Chappell,12,18.55,23,124
86,77,Cameron Davis,30,18.53,58,313
87,99,Johnson Wagner,23,18.52,45,243
T88,T101,John Chin,24,18.47,46,249
T88,T101,Patton Kizzire,29,18.47,58,314
T88,T101,Ben Silverman,24,18.47,46,249
91,104,Steve Marino,12,18.46,24,130
92,79,Robert Streb,30,18.44,59,320
93,T93,Nick Taylor,34,18.31,65,355
94,106,D.J. Trahan,15,18.30,28,153
95,73,Brian Stuard,40,18.29,77,421
96,72,Kramer Hickok,29,18.24,56,307
T97,T107,Trey Mullinax,30,18.18,58,319
T97,T107,Martin Piller,16,18.18,30,165
99,109,Emiliano Grillo,32,18.15,61,336
100,110,Jim Herman,19,18.14,37,204
T101,85,Jim Furyk,16,18.13,31,171
T101,121,Patrick Rodgers,31,18.13,60,331
103,86,Sam Burns,28,18.12,54,298
104,112,Russell Knox,26,18.08,49,271
105,T113,Nicholas Lindheim,14,18.06,26,144
106,92,Martin Laird,30,18.01,56,311
107,T127,Keegan Bradley,28,18.00,54,300
108,T90,Satoshi Kodaira,26,17.99,50,278
109,115,JosÃ© de JesÃºs RodrÃ­guez,29,17.92,55,307
110,T93,Jhonattan Vegas,26,17.88,49,274
111,T119,Carlos Ortiz,32,17.84,61,342
112,T82,Adam Hadwin,34,17.83,64,359
113,T88,Hunter Mahan,30,17.78,56,315
114,122,Brice Garnett,33,17.75,63,355
115,125,SebastiÃ¡n MuÃ±oz,30,17.67,56,317
116,126,Josh Teater,25,17.62,46,261
117,111,J.J. Spaun,39,17.60,72,409
118,118,Ryan Blaum,34,17.58,64,364
119,117,Kevin Streelman,30,17.57,55,313
120,130,Jamie Lovemark,22,17.52,41,234
121,T131,Richy Werenski,32,17.51,59,337
122,T133,Sanghyun Park,12,17.50,21,120
123,105,Denny McCarthy,29,17.42,54,310
124,T138,Cameron Tringale,20,17.41,35,201
125,T127,Joel Dahmen,36,17.36,67,386
126,T90,Bubba Watson,14,17.31,27,156
127,T119,Rod Pampling,18,17.30,32,185
128,123,Ryan Armour,34,17.17,62,361
129,154,Kelly Kraft,29,17.15,53,309
130,144,Austin Cook,19,17.09,34,199
131,161,Tommy Fleetwood,12,17.07,21,123
132,148,Scott Stallings,29,17.06,51,299
133,T140,Bronson Burgoon,21,16.97,37,218
134,T113,Kiradech Aphibarnrat,16,16.87,28,166
135,149,Adam Svensson,29,16.83,51,303
136,146,Bud Cauley,27,16.78,48,286
137,T131,Adam Long,23,16.74,40,239
138,T138,Adam Schenk,38,16.71,67,401
T139,142,Jason Dufner,26,16.67,46,276
T139,150,Shawn Stefani,25,16.67,44,264
141,153,Nick Watney,33,16.62,57,343
142,116,Pat Perez,29,16.61,50,301
143,T155,Chris Thompson,20,16.59,34,205
144,157,Roberto DÃ­az,19,16.58,33,199
145,152,Ryan Moore,26,16.54,45,272
146,160,Chad Campbell,9,16.48,15,91
147,T140,Kevin Tway,30,16.46,52,316
148,143,Kyoung-Hoon Lee,32,16.42,55,335
149,129,Scott Brown,30,16.41,53,323
150,136,Branden Grace,24,16.33,40,245
151,163,Chad Collins,14,16.31,23,141
152,158,Chris Stroud,26,16.30,44,270
153,T165,Ian Poulter,16,16.28,28,172
154,169,Brandt Snedeker,35,16.16,59,365
155,171,Sepp Straka,20,16.10,33,205
156,137,Sam Saunders,27,16.08,46,286
157,172,Martin Trainer,22,16.02,37,231
158,174,Troy Merritt,22,15.97,38,238
159,178,Andrew Landry,26,15.96,45,282
160,164,Paul Casey,26,15.87,43,271
161,T175,Kyle Jones,29,15.86,49,309
162,179,Harris English,34,15.85,58,366
163,173,Charley Hoffman,24,15.79,39,247
T164,162,Tyler Duncan,34,15.70,57,363
T164,170,Hudson Swafford,32,15.70,54,344
166,181,FabiÃ¡n GÃ³mez,26,15.64,43,275
167,188,Seth Reeves,32,15.63,53,339
168,145,Dustin Johnson,16,15.57,26,167
169,159,Brendan Steele,24,15.45,38,246
170,151,Ernie Els,24,15.42,39,253
171,182,John Senden,19,15.38,30,195
172,177,Freddie Jacobson,17,15.30,28,183
173,185,Sangmoon Bae,24,15.29,39,255
174,147,Hideki Matsuyama,24,15.23,39,256
175,190,Sean O'Hair,23,15.04,37,246
176,T192,Matt Jones,29,14.98,46,307
T177,T155,Alex Cejka,25,14.94,39,261
T177,187,Dylan Frittelli,25,14.94,39,261
T177,194,Brandon Hagy,15,14.94,23,154
T177,124,Danny Willett,17,14.94,26,174
181,195,Michael Kim,31,14.77,48,325
182,180,JuliÃ¡n Etulain,26,14.76,40,271
183,T199,John Huh,29,14.75,45,305
184,196,Chris Kirk,27,14.73,43,292
185,183,Grayson Murray,24,14.52,36,248
186,198,Doug Ghim,13,14.50,19,131
187,201,Alex Prugh,29,14.43,44,305
188,202,Ricky Barnes,11,14.41,16,111
T189,203,Derek Fathauer,12,14.40,18,125
T189,184,Stephan Jaeger,34,14.40,52,361
191,204,Billy Horschel,28,14.38,42,292
192,205,James Hahn,34,14.37,51,355
193,197,Ollie Schniederjans,30,14.29,46,322
194,T192,Sung Kang,33,14.25,50,351
195,207,Wes Roach,24,14.23,36,253
196,189,Bill Haas,27,14.18,40,282
197,186,Brian Harman,31,14.16,47,332
198,208,Ben Crane,18,14.05,26,185
T199,216,Jim Knous,24,13.94,35,251
T199,T199,Davis Love III,23,13.94,35,251
201,209,Joey Garber,18,13.90,26,187
202,211,Wesley Bryan,9,13.54,13,96
203,212,Tyrone Van Aswegen,14,13.48,19,141
204,215,Rory Sabbatini,27,13.33,38,285
205,210,Jimmy Walker,25,13.21,35,265
206,214,Charl Schwartzel,12,13.01,16,123
207,206,Cody Gribble,28,12.88,38,295
208,217,Seamus Power,25,12.78,34,266
209,213,Kevin Na,22,12.61,29,230
210,220,Brady Schnell,20,12.56,26,207
211,218,Kyle Stanley,22,12.50,29,232
212,221,Max Homa,29,12.05,37,307
213,222,Mackenzie Hughes,24,11.37,29,255
214,224,J.J. Henry,16,10.91,18,165
215,225,John Catlin,19,10.88,21,193
216,226,Kenny Perry,9,10.31,10,97
217,229,D.A. Points,16,8.28,14,169
