Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Rory McIlroy (12562390),Rory McIlroy,12562390,G,11800,Wells Fargo Championship,Golf,96.5
G,Jason Day (12562391),Jason Day,12562391,G,11000,Wells Fargo Championship,Golf,76.55
G,Rickie Fowler (12562392),Rickie Fowler,12562392,G,10600,Wells Fargo Championship,Golf,92.27
G,Justin Rose (12562393),Justin Rose,12562393,G,10300,Wells Fargo Championship,Golf,81.94
G,Hideki Matsuyama (12562394),Hideki Matsuyama,12562394,G,10100,Wells Fargo Championship,Golf,77.04
G,Sergio Garcia (12562395),Sergio Garcia,12562395,G,9900,Wells Fargo Championship,Golf,69.94
G,Webb Simpson (12562396),Webb Simpson,12562396,G,9700,Wells Fargo Championship,Golf,77.15
G,Paul Casey (12562397),Paul Casey,12562397,G,9500,Wells Fargo Championship,Golf,73
G,Tony Finau (12562398),Tony Finau,12562398,G,9300,Wells Fargo Championship,Golf,82.25
G,Phil Mickelson (12562399),Phil Mickelson,12562399,G,9100,Wells Fargo Championship,Golf,73.17
G,Gary Woodland (12562400),Gary Woodland,12562400,G,9000,Wells Fargo Championship,Golf,85.07
G,Henrik Stenson (12562401),Henrik Stenson,12562401,G,8900,Wells Fargo Championship,Golf,51.78
G,Patrick Reed (12562402),Patrick Reed,12562402,G,8800,Wells Fargo Championship,Golf,70.96
G,Jason Kokrak (12562403),Jason Kokrak,12562403,G,8700,Wells Fargo Championship,Golf,80.58
G,Sungjae Im (12562404),Sungjae Im,12562404,G,8600,Wells Fargo Championship,Golf,69.42
G,Lucas Glover (12562405),Lucas Glover,12562405,G,8500,Wells Fargo Championship,Golf,72.31
G,Charles Howell III (12562406),Charles Howell III,12562406,G,8400,Wells Fargo Championship,Golf,79.79
G,Byeong Hun An (12562407),Byeong Hun An,12562407,G,8300,Wells Fargo Championship,Golf,68.58
G,Jhonattan Vegas (12562408),Jhonattan Vegas,12562408,G,8200,Wells Fargo Championship,Golf,67.62
G,Aaron Wise (12562409),Aaron Wise,12562409,G,8100,Wells Fargo Championship,Golf,63.65
G,Luke List (12562410),Luke List,12562410,G,8000,Wells Fargo Championship,Golf,62.46
G,Keegan Bradley (12562411),Keegan Bradley,12562411,G,8000,Wells Fargo Championship,Golf,72.27
G,Zach Johnson (12562412),Zach Johnson,12562412,G,7900,Wells Fargo Championship,Golf,59.68
G,J.B. Holmes (12562413),J.B. Holmes,12562413,G,7900,Wells Fargo Championship,Golf,61.42
G,Keith Mitchell (12562414),Keith Mitchell,12562414,G,7800,Wells Fargo Championship,Golf,66.14
G,Sung Kang (12562415),Sung Kang,12562415,G,7800,Wells Fargo Championship,Golf,62.97
G,Kevin Streelman (12562416),Kevin Streelman,12562416,G,7700,Wells Fargo Championship,Golf,53.12
G,Rory Sabbatini (12562417),Rory Sabbatini,12562417,G,7700,Wells Fargo Championship,Golf,63.96
G,Daniel Berger (12562418),Daniel Berger,12562418,G,7700,Wells Fargo Championship,Golf,55
G,Roberto Castro (12562419),Roberto Castro,12562419,G,7600,Wells Fargo Championship,Golf,63.32
G,Nick Watney (12562420),Nick Watney,12562420,G,7600,Wells Fargo Championship,Golf,59.75
G,Joel Dahmen (12562421),Joel Dahmen,12562421,G,7600,Wells Fargo Championship,Golf,63.82
G,Kyle Stanley (12562422),Kyle Stanley,12562422,G,7500,Wells Fargo Championship,Golf,49.08
G,J.T. Poston (12562423),J.T. Poston,12562423,G,7500,Wells Fargo Championship,Golf,67.72
G,Trey Mullinax (12562424),Trey Mullinax,12562424,G,7500,Wells Fargo Championship,Golf,58.33
G,Jimmy Walker (12562425),Jimmy Walker,12562425,G,7500,Wells Fargo Championship,Golf,56.29
G,Michael Thompson (12562426),Michael Thompson,12562426,G,7400,Wells Fargo Championship,Golf,66.67
