RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,1,Justin Rose,3,1.42,17,12
2,2,Lucas Glover,7,1.46,38,26
3,3,Charles Howell III,9,1.47,50,34
4,5,Matt Kuchar,7,1.57,44,28
5,6,Webb Simpson,4,1.63,26,16
6,7,Rory McIlroy,4,1.69,27,16
7,8,Kevin Tway,9,1.70,51,30
T8,T9,Anirban Lahiri,7,1.71,36,21
T8,T9,Marc Leishman,6,1.71,41,24
10,11,Abraham Ancer,9,1.72,55,32
T11,999,Daniel Berger,4,1.75,21,12
T11,T12,Jim Furyk,5,1.75,28,16
T11,T12,Xander Schauffele,7,1.75,49,28
T14,T14,Jon Rahm,6,1.79,43,24
T14,T14,Justin Thomas,6,1.79,43,24
16,16,Russell Knox,7,1.81,47,26
17,T17,Ernie Els,6,1.83,44,24
T18,29,Aaron Baddeley,8,1.85,50,27
T18,19,Nick Watney,9,1.85,61,33
20,20,Talor Gooch,7,1.86,39,21
21,21,Harold Varner III,9,1.87,56,30
22,22,Rickie Fowler,4,1.88,30,16
T23,T17,Corey Conners,9,1.92,50,26
T23,T23,Steve Marino,4,1.92,23,12
T23,T23,Brendan Steele,8,1.92,46,24
T26,T25,Bryson DeChambeau,4,1.94,31,16
T26,T25,Phil Mickelson,5,1.94,35,18
T26,T25,Danny Willett,5,1.94,33,17
29,28,Patrick Cantlay,6,1.95,43,22
30,30,Andrew Putnam,9,1.97,63,32
T31,T49,Scott Brown,10,2.00,68,34
T31,T31,Kevin Chappell,3,2.00,24,12
T31,T31,J.J. Spaun,11,2.00,78,39
34,34,Gary Woodland,8,2.03,63,31
T35,T35,Keegan Bradley,7,2.04,57,28
T35,T38,Jonathan Byrd,6,2.04,47,23
T35,T35,Jhonattan Vegas,8,2.04,53,26
T38,T38,Kevin Kisner,6,2.05,45,22
T38,T42,Graeme McDowell,6,2.05,45,22
T38,T38,Scott Piercy,10,2.05,78,38
T38,T38,Kyle Stanley,7,2.05,45,22
T42,T51,Derek Fathauer,5,2.06,33,16
T42,T42,Emiliano Grillo,8,2.06,66,32
T42,T42,Zach Johnson,5,2.06,33,16
T42,T42,Dustin Johnson,4,2.06,33,16
T42,T42,Si Woo Kim,10,2.06,74,36
T42,T42,Scott Langley,10,2.06,70,34
T42,T68,Charl Schwartzel,6,2.06,33,16
T42,T31,Robert Streb,11,2.06,70,34
T42,T42,Hudson Swafford,9,2.06,66,32
51,T49,Tyrrell Hatton,4,2.07,29,14
T52,T51,Tommy Fleetwood,3,2.08,25,12
T52,T51,Doug Ghim,4,2.08,27,13
T52,T57,Nate Lashley,6,2.08,50,24
T52,T51,Ryan Palmer,7,2.08,54,26
T56,T55,Troy Merritt,6,2.09,46,22
T56,T55,Vaughn Taylor,10,2.09,67,32
T58,T35,Roberto Castro,8,2.10,63,30
T58,T57,Trey Mullinax,9,2.10,63,30
T58,T57,Scott Stallings,9,2.10,61,29
T61,T60,Sam Burns,10,2.11,59,28
T61,T60,Bud Cauley,8,2.11,57,27
T61,T60,Billy Horschel,7,2.11,59,28
T61,T77,D.J. Trahan,5,2.11,40,19
T65,T68,Matt Every,4,2.13,34,16
T65,T63,Sean O'Hair,9,2.13,49,23
T65,T63,Chez Reavie,10,2.13,81,38
T65,T63,Richy Werenski,9,2.13,68,32
T69,T66,J.T. Poston,10,2.14,77,36
T69,T66,Cameron Smith,7,2.14,60,28
71,T68,Sungjae Im,12,2.17,89,41
72,T71,Jason Kokrak,7,2.18,61,28
T73,T73,Anders Albertson,10,2.19,68,31
T73,T82,Dominic Bozzelli,9,2.19,68,31
T73,T73,Andrew Landry,8,2.19,57,26
T73,T73,Chris Stroud,9,2.19,57,26
T73,T73,Michael Thompson,7,2.19,57,26
T78,T79,Chesson Hadley,9,2.21,62,28
T78,T79,Sung Kang,10,2.21,73,33
T78,T79,Hideki Matsuyama,6,2.21,53,24
81,T82,Carlos Ortiz,10,2.22,71,32
T82,T84,Ryan Armour,10,2.24,76,34
T82,T84,James Hahn,10,2.24,76,34
T82,T95,David Hearn,8,2.24,56,25
T82,T84,Denny McCarthy,9,2.24,65,29
T82,T71,Adam Schenk,12,2.24,94,42
T87,T87,Joel Dahmen,10,2.25,81,36
T87,T87,Jason Day,5,2.25,45,20
T87,T87,Ian Poulter,4,2.25,36,16
T87,T87,Sam Ryder,10,2.25,81,36
T91,T91,Austin Cook,6,2.26,43,19
T91,T77,Cameron Davis,10,2.26,77,34
T91,T91,Davis Love III,6,2.26,52,23
94,93,Paul Casey,7,2.27,59,26
T95,T95,Wyndham Clark,10,2.29,80,35
T95,T95,Beau Hossler,10,2.29,78,34
T95,T95,Danny Lee,8,2.29,64,28
T95,T95,Alex Noren,4,2.29,32,14
T99,T102,Stewart Cink,6,2.30,46,20
T99,T102,Brice Garnett,10,2.30,76,33
T101,T104,Tony Finau,7,2.31,60,26
T101,T104,Patton Kizzire,8,2.31,67,29
T101,T104,Chase Wright,11,2.31,74,32
104,107,Jamie Lovemark,7,2.32,51,22
T105,T128,FabiÃ¡n GÃ³mez,9,2.33,70,30
T105,T108,Brooks Koepka,3,2.33,28,12
T105,T108,Peter Malnati,9,2.33,63,27
T105,112,JosÃ© de JesÃºs RodrÃ­guez,10,2.33,77,33
T109,T113,Rafa Cabrera Bello,5,2.35,47,20
T109,T113,Luke List,7,2.35,54,23
T109,T121,Tom Lovelady,5,2.35,40,17
T109,T113,C.T. Pan,9,2.35,80,34
T109,T113,Jordan Spieth,6,2.35,47,20
T114,T117,Cameron Champ,11,2.36,92,39
T114,T139,Ben Crane,7,2.36,52,22
T116,T119,Rory Sabbatini,8,2.37,64,27
T116,T119,Brandt Snedeker,9,2.37,83,35
T116,T130,Johnson Wagner,7,2.37,64,27
T119,T121,Harris English,10,2.38,81,34
T119,T121,Adam Hadwin,9,2.38,81,34
T119,T108,Chris Kirk,10,2.38,69,29
T122,T168,Roberto DÃ­az,8,2.39,55,23
T122,94,Matt Jones,10,2.39,79,33
124,T124,Patrick Reed,5,2.40,48,20
T125,T126,Max Homa,10,2.41,70,29
T125,T126,Stephan Jaeger,11,2.41,82,34
T127,T139,Martin Trainer,9,2.42,63,26
T127,T128,Aaron Wise,6,2.42,46,19
T129,T139,JuliÃ¡n Etulain,9,2.43,73,30
T129,T135,Jim Knous,9,2.43,68,28
T129,T130,Martin Laird,9,2.43,73,30
T129,T130,Kevin Streelman,10,2.43,73,30
133,133,Bill Haas,8,2.44,66,27
T134,T184,J.J. Henry,7,2.45,49,20
T134,134,J.B. Holmes,8,2.45,71,29
T136,T95,Whee Kim,13,2.46,96,39
T136,T135,Ryan Moore,8,2.46,64,26
T136,T108,Ben Silverman,8,2.46,64,26
T136,T139,Cameron Tringale,7,2.46,59,24
T140,137,Joaquin Niemann,9,2.47,79,32
T140,T160,Ollie Schniederjans,11,2.47,84,34
T142,138,Bronson Burgoon,8,2.48,52,21
T142,T117,Josh Teater,10,2.48,67,27
T144,999,Stuart Appleby,3,2.50,30,12
T144,T139,Hunter Mahan,10,2.50,75,30
T144,T95,Wes Roach,9,2.50,70,28
T144,172,Tyrone Van Aswegen,6,2.50,40,16
T144,T139,Bubba Watson,4,2.50,35,14
T149,T145,John Huh,11,2.52,73,29
T149,T145,Adam Long,9,2.52,58,23
T149,183,Shawn Stefani,10,2.52,73,29
T152,T150,Russell Henley,9,2.54,71,28
T152,187,Curtis Luck,9,2.54,66,26
T154,T148,Tom Hoge,13,2.55,97,38
T154,999,Parker McLachlin,3,2.55,28,11
T154,T152,Kevin Na,6,2.55,56,22
T154,T152,Patrick Rodgers,10,2.55,79,31
T154,T124,Brady Schnell,8,2.55,56,22
159,T154,Kiradech Aphibarnrat,5,2.56,41,16
160,156,Nicholas Lindheim,5,2.57,36,14
T161,T148,Ryan Blaum,11,2.58,98,38
T161,T157,John Catlin,5,2.58,49,19
T161,T157,Charley Hoffman,8,2.58,62,24
T161,T157,"Ted Potter, Jr.",9,2.58,80,31
T161,T145,Roger Sloan,10,2.58,80,31
166,181,SebastiÃ¡n MuÃ±oz,10,2.59,88,34
T167,T160,Dylan Frittelli,7,2.60,65,25
T167,T160,Jimmy Walker,7,2.60,65,25
169,T154,Kyoung-Hoon Lee,12,2.61,94,36
T170,T163,Jason Dufner,9,2.62,68,26
T170,T163,Brian Gay,10,2.62,102,39
T170,T163,Kelly Kraft,10,2.62,76,29
T170,T163,Keith Mitchell,9,2.62,76,29
T174,T168,Branden Grace,7,2.63,63,24
T174,T168,Sam Saunders,9,2.63,71,27
T174,T168,Brian Stuard,12,2.63,105,40
177,999,Brendon Todd,3,2.64,29,11
T178,T150,Sangmoon Bae,10,2.65,69,26
T178,173,Nick Taylor,10,2.65,90,34
180,T174,Pat Perez,9,2.66,77,29
181,176,Adam Scott,6,2.67,56,21
T182,T177,Tyler Duncan,12,2.68,102,38
T182,T177,Jim Herman,8,2.68,51,19
T182,180,Kyle Jones,11,2.68,83,31
T182,T163,Adam Svensson,10,2.68,83,31
186,T177,Peter Uihlein,10,2.69,86,32
187,186,Kramer Hickok,11,2.70,89,33
T188,182,Mackenzie Hughes,9,2.71,65,24
T188,T194,Sepp Straka,8,2.71,65,24
190,191,Joey Garber,8,2.73,60,22
T191,T184,Martin Piller,6,2.75,55,20
T191,T201,D.A. Points,7,2.75,55,20
193,T174,Alex Prugh,10,2.77,86,31
194,T194,Chris Thompson,8,2.79,67,24
T195,T189,Byeong Hun An,4,2.81,45,16
T195,T189,Seth Reeves,10,2.81,90,32
197,193,John Senden,7,2.83,65,23
T198,192,Alex Cejka,9,2.84,71,25
T198,188,Hank Lebioda,8,2.84,71,25
200,T201,John Chin,10,2.89,81,28
201,196,Brandon Hagy,6,2.93,44,15
T202,T197,Brandon Harkins,11,2.94,103,35
T202,T197,Brian Harman,9,2.94,91,31
T202,T197,Michael Kim,11,2.94,91,31
205,200,Jonas Blixt,10,2.97,95,32
206,T201,Grayson Murray,9,3.00,72,24
207,206,Sanghyun Park,3,3.08,37,12
208,999,David Lingmerth,4,3.09,34,11
209,208,Satoshi Kodaira,8,3.12,81,26
210,T201,Chad Collins,6,3.17,57,18
T211,205,Robert Garrigus,7,3.20,64,20
T211,212,Rod Pampling,7,3.20,64,20
213,210,Cody Gribble,10,3.25,91,28
214,211,Ricky Barnes,5,3.31,43,13
215,213,Seamus Power,10,3.36,84,25
216,217,Chad Campbell,5,3.38,44,13
217,214,Shubhankar Sharma,3,3.50,42,12
218,216,Freddie Jacobson,7,3.53,67,19
