RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,1,Matt Kuchar,55,2.24,220,98
2,2,Patrick Cantlay,41,2.20,163,74
T3,T3,Dustin Johnson,39,2.17,156,72
T3,T3,Justin Thomas,43,2.17,206,95
5,8,Justin Rose,30,2.10,124,59
T6,5,Charles Howell III,57,2.00,230,115
T6,9,Rory McIlroy,40,2.00,170,85
8,6,Jason Day,39,1.99,163,82
9,10,Xander Schauffele,45,1.98,196,99
10,7,Lucas Glover,54,1.97,201,102
11,11,Jon Rahm,47,1.96,182,93
12,12,Tiger Woods,25,1.94,95,49
13,T13,Si Woo Kim,57,1.93,245,127
14,16,Talor Gooch,27,1.90,120,63
15,T18,Rickie Fowler,44,1.88,207,110
16,15,Webb Simpson,45,1.87,170,91
17,T18,D.J. Trahan,29,1.86,117,63
18,22,Scott Piercy,56,1.83,227,124
T19,23,Ryan Palmer,42,1.82,178,98
T19,T13,Gary Woodland,55,1.82,253,139
21,T24,Jim Furyk,39,1.81,130,72
22,27,Troy Merritt,32,1.78,123,69
23,T28,Aaron Baddeley,43,1.77,175,99
T24,T20,Tony Finau,51,1.74,203,117
T24,26,Sungjae Im,73,1.74,301,173
T24,T31,Ian Poulter,43,1.74,155,89
T27,T33,Marc Leishman,46,1.73,185,107
T27,17,Phil Mickelson,35,1.73,145,84
T27,T33,Andrew Putnam,45,1.73,173,100
T27,T28,Jhonattan Vegas,52,1.73,206,119
T31,T35,Abraham Ancer,53,1.72,201,117
T31,T35,Bryson DeChambeau,37,1.72,163,95
T31,T20,Jason Kokrak,60,1.72,239,139
34,30,Dominic Bozzelli,43,1.71,183,107
T35,T37,Brooks Koepka,37,1.70,138,81
T35,T24,Nate Lashley,34,1.70,126,74
37,T37,Hideki Matsuyama,47,1.65,181,110
38,42,Tommy Fleetwood,39,1.64,120,73
39,T40,Aaron Wise,40,1.63,174,107
40,T44,Corey Conners,48,1.62,180,111
41,T50,Paul Casey,46,1.61,175,109
T42,T44,Bud Cauley,49,1.60,201,126
T42,48,Graeme McDowell,49,1.60,179,112
T44,60,Joel Dahmen,68,1.59,267,168
T44,49,Louis Oosthuizen,35,1.59,111,70
T44,T54,Adam Schenk,68,1.59,267,168
T47,T50,Kevin Kisner,57,1.58,183,116
T47,T50,Sam Ryder,48,1.58,199,126
T49,53,J.J. Spaun,54,1.57,193,123
T49,T40,Michael Thompson,44,1.57,182,116
T51,43,Cameron Champ,48,1.56,219,140
T51,T44,Denny McCarthy,55,1.56,197,126
T51,T54,Chez Reavie,61,1.56,224,144
T51,T54,Adam Scott,33,1.56,136,87
55,T57,Kevin Tway,46,1.55,157,101
56,47,Wyndham Clark,55,1.54,233,151
57,T70,Vaughn Taylor,57,1.52,219,144
58,65,Cameron Smith,49,1.51,183,121
T59,T31,Jonathan Byrd,37,1.50,135,90
T59,T66,Rafa Cabrera Bello,45,1.50,181,121
T59,T57,Roberto Castro,46,1.50,156,104
T59,T79,Sergio Garcia,35,1.50,105,70
T59,T66,Ryan Moore,44,1.50,177,118
64,T66,Matt Jones,57,1.49,198,133
T65,T63,Keegan Bradley,55,1.48,190,128
T65,T72,James Hahn,34,1.48,126,85
T65,T75,Rory Sabbatini,59,1.48,222,150
T65,T61,Harold Varner III,52,1.48,195,132
T65,T66,Nick Watney,55,1.48,204,138
T65,T72,Bubba Watson,41,1.48,135,91
71,T75,Sean O'Hair,23,1.47,81,55
72,T63,J.T. Poston,64,1.46,233,160
T73,T72,Sam Burns,54,1.43,198,138
T73,T98,Keith Mitchell,54,1.43,221,155
T73,T75,Trey Mullinax,59,1.43,213,149
T73,T57,Johnson Wagner,39,1.43,139,97
T77,T79,Byeong Hun An,44,1.42,183,129
T77,T88,Russell Knox,51,1.42,169,119
T79,T91,Emiliano Grillo,53,1.41,202,143
T79,T91,C.T. Pan,54,1.41,199,141
T79,T91,Jordan Spieth,41,1.41,164,116
T82,T82,Ryan Armour,56,1.40,200,143
T82,T75,Ernie Els,40,1.40,127,91
T82,T98,Adam Hadwin,54,1.40,208,149
T82,81,Sung Kang,57,1.40,213,152
T82,T98,Brian Stuard,64,1.40,224,160
T87,T70,Danny Lee,52,1.39,200,144
T87,T106,Davis Love III,29,1.39,106,76
T87,T120,Pat Perez,39,1.39,142,102
T87,T91,Patrick Reed,47,1.39,171,123
T91,T85,Cameron Davis,48,1.37,182,133
T91,T98,Dylan Frittelli,45,1.37,158,115
T91,T111,Brian Gay,64,1.37,235,172
