RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
T1,T2,Kevin Chappell,12,25.00,12,48
T1,T2,Aaron Wise,19,25.00,18,72
3,5,Davis Love III,23,23.66,22,93
4,6,Cameron Champ,39,23.53,36,153
5,8,Gary Woodland,31,23.33,28,120
6,9,Patton Kizzire,29,22.32,25,112
7,10,Billy Horschel,28,22.22,24,108
8,7,Jason Dufner,26,22.12,23,104
9,T23,Alex Cejka,25,21.78,22,101
10,19,Vaughn Taylor,32,21.71,28,129
11,25,Scott Langley,34,21.17,29,137
T12,T15,Steve Marino,12,20.83,10,48
T12,T15,Justin Rose,12,20.83,10,48
14,18,SebastiÃ¡n MuÃ±oz,30,20.66,25,121
15,13,Danny Lee,28,20.54,23,112
16,14,Bud Cauley,27,20.37,22,108
17,20,Emiliano Grillo,32,20.31,26,128
T18,T39,Bryson DeChambeau,16,20.00,12,60
T18,22,Michael Thompson,26,20.00,21,105
20,T23,Paul Casey,26,19.80,20,101
21,T80,Justin Thomas,24,19.57,18,92
22,26,Jason Gore,10,19.51,8,41
23,28,Troy Merritt,22,19.05,16,84
T24,T29,Rickie Fowler,16,18.75,12,64
T24,T29,Zach Johnson,16,18.75,12,64
T24,70,Hideki Matsuyama,24,18.75,18,96
T24,T29,J.T. Poston,36,18.75,27,144
T24,T29,Shubhankar Sharma,12,18.75,9,48
29,37,Matt Every,12,18.37,9,49
T30,27,Matt Kuchar,28,18.35,20,109
T30,38,Rory Sabbatini,27,18.35,20,109
32,42,D.J. Trahan,15,18.03,11,61
33,21,Shawn Stefani,25,18.00,18,100
34,48,Hudson Swafford,32,17.97,23,128
T35,T77,J.B. Holmes,29,17.95,21,117
T35,T43,Adam Svensson,29,17.95,21,117
T37,T15,Jason Kokrak,28,17.86,20,112
T37,T85,Peter Uihlein,28,17.86,20,112
T39,46,Jonas Blixt,32,17.83,23,129
T39,T72,Kyoung-Hoon Lee,32,17.83,23,129
T41,T11,Louis Oosthuizen,10,17.50,7,40
T41,45,Harold Varner III,30,17.50,21,120
T43,T140,Marc Leishman,24,17.39,16,92
T43,55,Jon Rahm,24,17.39,16,92
45,35,Martin Laird,30,17.36,21,121
46,49,Cameron Tringale,20,17.28,14,81
47,50,Hank Lebioda,23,17.20,16,93
48,T51,Byeong Hun An,16,17.19,11,64
T49,60,Tony Finau,26,17.14,18,105
T49,T53,Russell Knox,26,17.14,18,105
51,61,Pat Perez,29,17.09,20,117
52,56,Richy Werenski,32,17.05,22,129
T53,58,Martin Piller,16,16.92,11,65
T53,47,D.A. Points,16,16.92,11,65
55,T51,Ryan Blaum,34,16.91,23,136
56,59,Jason Day,20,16.88,13,77
57,T43,Andrew Putnam,32,16.80,21,125
T58,69,Ryan Armour,34,16.79,23,137
