RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,TOTAL,TOTAL PAR 5 HOLES,TOTAL HOLE OUTS
1,T1,J.T. Poston,44,9,144,2
T2,T1,Cody Gribble,30,8,100,3
T2,T1,Scott Piercy,44,8,152,2
T2,T1,Adam Schenk,50,8,170,3
T2,T1,Justin Thomas,32,8,100,3
T6,T6,James Hahn,34,7,120,1
T6,T6,Max Homa,33,7,106,2
T6,T6,Xander Schauffele,32,7,116,1
T6,T6,Gary Woodland,39,7,126,
T10,T10,Keegan Bradley,36,6,124,1
T10,T10,Paul Casey,30,6,108,
T10,T10,Cameron Champ,41,6,138,1
T10,T10,Harris English,42,6,134,1
T10,T10,Branden Grace,28,6,102,2
T10,T10,Zach Johnson,24,6,72,2
T10,T10,Marc Leishman,32,6,112,
T10,T18,Adam Long,29,6,102,2
T10,T10,Keith Mitchell,37,6,120,
T10,T31,Hudson Swafford,39,6,126,2
T20,T18,Dylan Frittelli,27,5,92,1
T20,T18,FabiÃ¡n GÃ³mez,30,5,104,
T20,T18,Emiliano Grillo,38,5,128,
T20,T18,Adam Hadwin,38,5,132,2
T20,T18,Sungjae Im,49,5,162,1
T20,T18,Matt Jones,37,5,122,
T20,T18,Martin Laird,32,5,116,2
T20,T31,Luke List,29,5,98,2
T20,T18,Trey Mullinax,34,5,108,1
T20,T18,Grayson Murray,28,5,95,
T20,T31,Kevin Na,28,5,98,
T20,T31,Joaquin Niemann,40,5,132,
T20,T31,Carlos Ortiz,38,5,126,1
T20,T18,Alex Prugh,33,5,112,2
T20,T59,Patrick Rodgers,39,5,126,
T20,T18,Sam Ryder,40,5,138,1
T20,T31,Kyle Stanley,30,5,100,1
T20,T18,Adam Svensson,35,5,118,
T38,T31,Abraham Ancer,38,4,126,1
T38,T31,Sangmoon Bae,26,4,88,
T38,T31,Ryan Blaum,45,4,150,1
T38,T31,Scott Brown,40,4,128,2
T38,T31,Sam Burns,35,4,116,
T38,T31,Rafa Cabrera Bello,28,4,104,
T38,T31,Joel Dahmen,40,4,130,1
T38,T31,Tyler Duncan,41,4,134,2
T38,T31,Bill Haas,33,4,112,
T38,T100,Billy Horschel,40,4,140,
T38,T31,Stephan Jaeger,37,4,120,
T38,T31,Sung Kang,41,4,134,2
T38,T59,Chris Kirk,35,4,114,1
T38,T31,Brooks Koepka,22,4,76,2
T38,T59,Scott Langley,38,4,124,1
T38,T31,Davis Love III,23,4,70,1
T38,T31,Hunter Mahan,36,4,124,2
T38,T59,Rory McIlroy,24,4,88,
T38,T31,SebastiÃ¡n MuÃ±oz,38,4,126,2
T38,T31,Jon Rahm,28,4,100,1
T38,T31,Chez Reavie,42,4,146,
T38,T31,Seth Reeves,34,4,112,2
T38,T31,Scott Stallings,33,4,122,3
T38,T31,Chris Stroud,28,4,101,2
T38,T59,Michael Thompson,32,4,106,2
T38,T31,Nick Watney,37,4,126,1
T64,T59,Byeong Hun An,28,3,96,1
T64,T59,Dominic Bozzelli,33,3,110,1
T64,T59,Jonathan Byrd,23,3,86,1
T64,T59,Roberto Castro,34,3,118,1
T64,T59,Bud Cauley,33,3,108,
T64,T100,Stewart Cink,25,3,80,1
T64,T59,Chad Collins,18,3,70,
T64,T59,Cameron Davis,38,3,130,1
T64,T100,Bryson DeChambeau,24,3,76,3
T64,T59,JuliÃ¡n Etulain,34,3,116,1
T64,T59,Tony Finau,30,3,102,1
T64,T153,Tommy Fleetwood,20,3,72,
T64,T59,Rickie Fowler,28,3,88,
T64,T59,Joey Garber,24,3,84,1
T64,T59,Brice Garnett,37,3,122,
T64,T59,Robert Garrigus,20,3,74,
T64,T59,Brian Gay,45,3,142,
T64,T59,Brian Harman,35,3,114,1
T64,T59,Charley Hoffman,26,3,96,
T64,T59,Beau Hossler,38,3,138,
T64,T100,Charles Howell III,42,3,144,
T64,T59,Mackenzie Hughes,26,3,84,2
T64,T59,Freddie Jacobson,23,3,70,1
T64,T59,Si Woo Kim,38,3,134,
T64,T59,Russell Knox,34,3,112,
T64,T59,Kelly Kraft,31,3,100,1
T64,T59,Danny Lee,34,3,106,1
T64,T59,Denny McCarthy,31,3,100,
T64,T100,Graeme McDowell,29,3,98,1
T64,T59,Troy Merritt,22,3,74,1
T64,T100,Ryan Moore,30,3,108,1
T64,T59,C.T. Pan,38,3,134,1
T64,T59,Pat Perez,33,3,120,
T64,T59,Wes Roach,28,3,98,
T64,T59,Rory Sabbatini,31,3,100,
T64,T59,Adam Scott,23,3,80,
T64,T100,Roger Sloan,39,3,130,1
T64,T59,Cameron Smith,34,3,112,
T64,T59,Brendan Steele,30,3,110,
T64,T100,Vaughn Taylor,38,3,124,1
T64,T100,Martin Trainer,32,3,112,
T64,T59,Tyrone Van Aswegen,16,3,62,1
T64,T100,Johnson Wagner,33,3,114,
T64,T59,Bubba Watson,22,3,72,1
T64,T59,Richy Werenski,37,3,124,1
T109,T100,Anders Albertson,35,2,118,
T109,T100,Aaron Baddeley,31,2,112,
T109,T100,Patrick Cantlay,26,2,92,
T109,T100,John Catlin,19,2,72,
T109,T100,Wyndham Clark,39,2,132,
T109,T100,Jason Day,20,2,80,
T109,T100,Ernie Els,30,2,98,
T109,T100,Matt Every,18,2,66,
T109,T100,Doug Ghim,13,2,50,2
T109,T100,Lucas Glover,34,2,116,1
T109,T100,Talor Gooch,25,2,84,1
T109,T100,Chesson Hadley,36,2,126,
T109,T100,Brandon Hagy,17,2,60,1
T109,T100,Brandon Harkins,37,2,120,1
T109,T100,Tyrrell Hatton,22,2,78,
T109,T100,Kramer Hickok,37,2,122,1
T109,T100,Tom Hoge,40,2,136,
T109,T100,John Huh,33,2,108,1
T109,T100,Kyle Jones,33,2,108,
T109,T100,Michael Kim,33,2,120,1
T109,T100,Kevin Kisner,30,2,96,1
T109,T100,Jim Knous,31,2,106,1
T109,T100,Satoshi Kodaira,32,2,106,
T109,T100,Jason Kokrak,36,2,124,
T109,T100,Matt Kuchar,32,2,100,
T109,T100,Nate Lashley,26,2,98,1
T109,T100,Phil Mickelson,24,2,86,
T109,T100,Sean O'Hair,23,2,76,1
T109,T100,Seamus Power,27,2,88,1
T109,T100,Patrick Reed,28,2,100,
T109,T100,JosÃ© de JesÃºs RodrÃ­guez,35,2,118,2
T109,T100,Justin Rose,16,2,64,
T109,T100,Sam Saunders,35,2,115,1
T109,T100,Charl Schwartzel,20,2,69,
T109,T100,John Senden,23,2,86,
T109,T100,Sepp Straka,26,2,94,
T109,T100,Brian Stuard,44,2,146,
T109,T100,Josh Teater,27,2,96,
T109,T100,Kevin Tway,32,2,112,
T109,T100,Jhonattan Vegas,34,2,114,
T109,T100,Jimmy Walker,31,2,104,
T109,,Matt Wallace,16,2,52,1
T109,T100,Aaron Wise,27,2,94,
T152,T153,Ryan Armour,40,1,130,
T152,T153,Jonas Blixt,36,1,118,
T152,T153,Bronson Burgoon,27,1,92,
T152,T153,Alex Cejka,25,1,88,
T152,T153,John Chin,28,1,102,
T152,T153,Austin Cook,24,1,80,1
T152,T153,Ben Crane,24,1,86,1
T152,T153,Roberto DÃ­az,25,1,86,
T152,T153,Jason Dufner,31,1,102,1
T152,999,Matthew Fitzpatrick,15,1,56,
T152,T153,David Hearn,25,1,86,
T152,T153,Russell Henley,32,1,96,
T152,T153,J.B. Holmes,31,1,112,
T152,T153,Patton Kizzire,35,1,112,
T152,T153,Anirban Lahiri,29,1,92,
T152,T153,Andrew Landry,30,1,98,
T152,T153,Hank Lebioda,29,1,94,1
T152,T153,Nicholas Lindheim,14,1,52,
T152,T153,Jamie Lovemark,22,1,74,
T152,T153,Curtis Luck,28,1,100,
