RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
1,1,Tom Hoge,54,21.62,40,185
2,2,Graeme McDowell,56,20.61,47,228
3,3,Nicholas Lindheim,58,19.56,44,225
4,4,Brandt Snedeker,53,18.78,37,197
5,5,Camilo Villegas,76,18.75,54,288
6,6,Scott Piercy,70,18.45,50,271
7,7,Rickie Fowler,78,17.76,54,304
8,8,Ryan Armour,63,17.72,42,237
9,9,Luke List,102,17.42,69,396
10,10,Blayne Barber,77,17.36,50,288
11,11,Chez Reavie,98,17.14,66,385
12,12,Seung-Yul Noh,91,17.09,60,351
13,13,Patton Kizzire,84,16.99,52,306
14,14,Tag Ridings,67,16.88,40,237
15,15,Jordan Spieth,85,16.83,52,309
16,16,Cameron Smith,86,16.82,56,333
17,17,Robert Garrigus,78,16.72,49,293
18,18,Peter Malnati,91,16.62,57,343
19,19,Brett Stegmaier,78,16.61,51,307
20,20,Brooks Koepka,88,16.25,52,320
21,21,J.T. Poston,95,16.15,57,353
22,22,Wesley Bryan,95,16.03,59,368
23,23,Brian Harman,104,15.92,64,402
24,24,J.J. Spaun,92,15.85,55,347
25,25,Emiliano Grillo,90,15.80,55,348
26,26,Bryson DeChambeau,91,15.79,57,361
27,27,Matt Jones,64,15.56,35,225
28,28,Matt Every,76,15.55,44,283
29,29,Zac Blair,105,15.54,62,399
T30,T30,Dustin Johnson,77,15.52,43,277
T30,T30,Adam Scott,58,15.52,36,232
T30,T30,Cameron Tringale,89,15.52,52,335
33,33,Geoff Ogilvy,80,15.46,45,291
34,34,Steven Alker,69,15.42,39,253
35,35,Harris English,84,15.26,47,308
T36,T36,Ryan Blaum,100,15.17,59,389
T36,T36,John Huh,92,15.17,54,356
38,38,Kevin Na,86,15.15,50,330
39,39,David Lingmerth,79,15.13,46,304
T40,T40,Retief Goosen,52,15.05,28,186
T40,T40,Russell Henley,99,15.05,59,392
T42,T42,Brett Drewitt,57,15.02,32,213
T42,T42,Julián Etulain,68,15.02,38,253
44,44,Rafa Cabrera Bello,63,15.00,36,240
T45,T45,Smylie Kaufman,76,14.98,43,287
T45,T45,Troy Merritt,82,14.98,46,307
T47,T47,Jason Day,71,14.94,39,261
T47,T47,Jason Dufner,89,14.94,49,328
49,49,Anirban Lahiri,72,14.93,43,288
50,50,Daniel Berger,91,14.91,51,342
51,51,Brian Stuard,93,14.90,52,349
52,52,Brad Fritsch,56,14.83,31,209
53,53,Daniel Summerhays,100,14.78,56,379
T54,T54,Mackenzie Hughes,106,14.77,61,413
T54,T54,Chris Stroud,67,14.77,35,237
56,56,Byeong Hun An,77,14.73,43,292
57,57,Dominic Bozzelli,69,14.72,39,265
58,58,Graham DeLaet,82,14.61,45,308
59,59,Johnson Wagner,71,14.57,37,254
60,60,Rory Sabbatini,71,14.56,38,261
61,61,Marc Leishman,94,14.44,52,360
62,62,Justin Rose,66,14.40,37,257
63,63,Richy Werenski,81,14.38,43,299
T64,T64,Ben Martin,86,14.33,46,321
T64,T64,Hideki Matsuyama,83,14.33,43,300
T64,T64,Justin Thomas,86,14.33,45,314
67,67,Keegan Bradley,104,14.32,59,412
68,68,D.A. Points,68,14.29,39,273
69,69,Nick Watney,75,14.23,40,281
T70,T70,Patrick Cantlay,52,14.21,28,197
T70,T70,Sebastián Muñoz,51,14.21,28,197
72,72,Kelly Kraft,75,14.19,41,289
T73,T73,Adam Hadwin,98,14.11,56,397
T73,T73,Jon Rahm,90,14.11,47,333
75,75,Michael Thompson,60,14.10,32,227
76,76,Andres Gonzales,73,14.08,39,277
77,77,Bryce Molder,74,14.05,42,299
78,78,Jonas Blixt,74,14.04,40,285
T79,T79,Jason Kokrak,95,14.03,54,385
T79,T79,Martin Laird,83,14.03,47,335
T81,T81,Patrick Reed,107,13.97,56,401
T81,T81,Webb Simpson,102,13.97,56,401
83,83,Rick Lamb,54,13.93,28,201
84,84,Tim Wilkinson,64,13.92,33,237
85,85,Danny Lee,93,13.89,50,360
86,86,Luke Donald,50,13.85,27,195
87,87,C.T. Pan,88,13.83,48,347
88,88,Whee Kim,74,13.79,40,290
T89,T89,Greg Chalmers,75,13.78,39,283
