RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,TOTAL,TOTAL PAR 4 HOLES,TOTAL HOLE OUTS
1,1,Justin Thomas,32,5,352,2
T2,T2,Rafa Cabrera Bello,28,3,295,1
T2,T2,Dustin Johnson,20,3,211,2
T4,T4,Ryan Blaum,34,2,360,2
T4,T4,Keegan Bradley,32,2,338,1
T4,T4,James Hahn,36,2,379,2
T4,T4,Patton Kizzire,40,2,438,2
T4,T4,"Ted Potter, Jr.",33,2,347,1
T9,T9,Ricky Barnes,28,1,293,1
T9,T9,Zac Blair,24,1,247,1
T9,T9,Scott Brown,45,1,475,1
T9,T9,Wesley Bryan,30,1,320,1
T9,T9,Sam Burns,18,1,188,1
T9,T9,Alex Cejka,29,1,300,1
T9,T9,Kevin Chappell,30,1,321,
T9,T9,Joel Dahmen,35,1,379,1
T9,T9,Luke Donald,21,1,221,
T9,T9,Jason Dufner,26,1,282,1
T9,T9,Tyler Duncan,36,1,385,1
T9,T9,Matt Every,39,1,413,1
T9,T9,Derek Fathauer,40,1,423,1
T9,T9,Tommy Fleetwood,16,1,176,1
T9,T9,Robert Garrigus,33,1,339,
T9,T9,Brian Gay,38,1,407,1
T9,T9,Lucas Glover,38,1,390,
T9,T9,Gavin Kyle Green,16,1,164,
T9,T9,Chesson Hadley,38,1,397,1
T9,T9,Charley Hoffman,26,1,275,
T9,T9,Morgan Hoffmann,23,1,249,1
T9,T9,John Huh,40,1,432,1
T9,T9,Chris Kirk,44,1,463,1
T9,T9,Andrew Landry,29,1,311,1
T9,T9,Danny Lee,29,1,302,
T9,T9,David Lingmerth,25,1,265,1
T9,T9,Luke List,43,1,452,
T9,T9,Jamie Lovemark,36,1,380,
T9,T9,Shane Lowry,20,1,209,1
T9,T9,Hunter Mahan,29,1,301,1
T9,T9,Peter Malnati,37,1,391,1
T9,T9,Ben Martin,40,1,425,1
T9,T9,Denny McCarthy,23,1,241,
T9,T9,Graeme McDowell,27,1,283,
T9,T9,Troy Merritt,37,1,395,1
T9,T9,Trey Mullinax,25,1,255,1
T9,T9,Grayson Murray,36,1,369,
T9,T9,Kevin Na,30,1,311,
T9,,Sean O'Hair,26,1,269,1
T9,T9,Geoff Ogilvy,19,1,200,
T9,T9,Rod Pampling,25,1,249,
T9,T9,Martin Piller,37,1,391,1
T9,T9,Jonathan Randolph,31,1,332,1
T9,T9,Chez Reavie,46,1,481,
T9,T9,Rory Sabbatini,38,1,403,1
T9,T9,Sam Saunders,32,1,339,1
T9,T9,Scott Stallings,43,1,451,
T9,T9,Harold Varner III,39,1,410,
T9,T9,Richy Werenski,37,1,387,1
T9,T9,Xinjun Zhang,37,1,393,1
