Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Justin Thomas (12146046),Justin Thomas,12146046,G,11900,The Honda Classic,Golf,101.12
G,Rickie Fowler (12146047),Rickie Fowler,12146047,G,11200,The Honda Classic,Golf,100
G,Brooks Koepka (12146048),Brooks Koepka,12146048,G,10700,The Honda Classic,Golf,81.58
G,Adam Scott (12146049),Adam Scott,12146049,G,10300,The Honda Classic,Golf,74.33
G,Sergio Garcia (12146050),Sergio Garcia,12146050,G,10000,The Honda Classic,Golf,81.8
G,Gary Woodland (12146051),Gary Woodland,12146051,G,9800,The Honda Classic,Golf,95.85
G,Webb Simpson (12146052),Webb Simpson,12146052,G,9600,The Honda Classic,Golf,87.5
G,Cameron Smith (12146053),Cameron Smith,12146053,G,9500,The Honda Classic,Golf,86.44
G,Daniel Berger (12146054),Daniel Berger,12146054,G,9400,The Honda Classic,Golf,65.38
G,Billy Horschel (12146055),Billy Horschel,12146055,G,9300,The Honda Classic,Golf,71.31
G,Luke List (12146056),Luke List,12146056,G,9200,The Honda Classic,Golf,68.57
G,Byeong-Hun An (12146057),Byeong-Hun An,12146057,G,9100,The Honda Classic,Golf,71.64
G,Alexander Noren (12146058),Alexander Noren,12146058,G,9000,The Honda Classic,Golf,66.83
G,Emiliano Grillo (12146064),Emiliano Grillo,12146064,G,8900,The Honda Classic,Golf,79
G,Lucas Glover (12146060),Lucas Glover,12146060,G,8800,The Honda Classic,Golf,84.14
G,Zach Johnson (12146061),Zach Johnson,12146061,G,8700,The Honda Classic,Golf,67.5
G,Russell Henley (12146062),Russell Henley,12146062,G,8600,The Honda Classic,Golf,51.83
G,Matt Wallace (12146063),Matt Wallace,12146063,G,8500,The Honda Classic,Golf,70.71
G,J.T. Poston (12146059),J.T. Poston,12146059,G,8400,The Honda Classic,Golf,73.1
G,Charl Schwartzel (12146065),Charl Schwartzel,12146065,G,8300,The Honda Classic,Golf,49.25
G,Kiradech Aphibarnrat (12146066),Kiradech Aphibarnrat,12146066,G,8200,The Honda Classic,Golf,60
G,Scott Piercy (12146067),Scott Piercy,12146067,G,8100,The Honda Classic,Golf,82.4
G,Michael Thompson (12146068),Michael Thompson,12146068,G,8000,The Honda Classic,Golf,76
G,Joel Dahmen (12146069),Joel Dahmen,12146069,G,7900,The Honda Classic,Golf,68.6
G,Cheng-Tsung Pan (12146070),Cheng-Tsung Pan,12146070,G,7800,The Honda Classic,Golf,69.22
G,Russell Knox (12146071),Russell Knox,12146071,G,7800,The Honda Classic,Golf,67.69
G,Chesson Hadley (12146072),Chesson Hadley,12146072,G,7700,The Honda Classic,Golf,61.22
G,Whee Kim (12146073),Whee Kim,12146073,G,7700,The Honda Classic,Golf,48.88
G,Graeme McDowell (12146074),Graeme McDowell,12146074,G,7600,The Honda Classic,Golf,70.08
G,Joaquin Niemann (12146075),Joaquin Niemann,12146075,G,7600,The Honda Classic,Golf,62.61
G,Talor Gooch (12146076),Talor Gooch,12146076,G,7600,The Honda Classic,Golf,66.79
G,Jimmy Walker (12146078),Jimmy Walker,12146078,G,7500,The Honda Classic,Golf,57.07
G,Chris Kirk (12146079),Chris Kirk,12146079,G,7500,The Honda Classic,Golf,47.25
G,Kelly Kraft (12146080),Kelly Kraft,12146080,G,7500,The Honda Classic,Golf,52.2
G,Scott Brown (12146077),Scott Brown,12146077,G,7400,The Honda Classic,Golf,61
G,Wyndham Clark (12146081),Wyndham Clark,12146081,G,7400,The Honda Classic,Golf,68.25
G,Chris Stroud (12146082),Chris Stroud,12146082,G,7400,The Honda Classic,Golf,51.61
G,Dylan Frittelli (12146083),Dylan Frittelli,12146083,G,7400,The Honda Classic,Golf,65.2
