RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,1,Justin Thomas,43,60.61,80,132
2,2,Bryson DeChambeau,37,59.65,68,114
3,3,Gary Woodland,55,58.29,102,175
4,5,Adam Scott,33,58.04,65,112
5,4,Luke List,46,57.53,84,146
6,6,Matt Kuchar,55,57.50,92,160
7,7,Xander Schauffele,45,57.24,87,152
8,8,Troy Merritt,32,56.38,53,94
9,9,Ian Poulter,43,56.25,72,128
10,10,Cameron Champ,48,55.84,86,154
11,11,Brooks Koepka,37,55.56,60,108
12,T21,Rory McIlroy,40,55.30,73,132
13,12,Martin Kaymer,28,55.21,53,96
14,29,Justin Rose,30,55.00,55,100
15,15,Si Woo Kim,57,54.79,103,188
16,17,Bubba Watson,41,54.17,65,120
17,14,Paul Casey,46,53.95,82,152
18,18,D.J. Trahan,29,53.92,55,102
19,13,Wyndham Clark,55,53.85,98,182
20,26,Keith Mitchell,54,53.53,91,170
21,20,Jon Rahm,47,53.38,79,148
22,30,Byeong Hun An,44,53.15,76,143
23,16,Tony Finau,51,53.09,86,162
24,25,Dustin Johnson,39,53.03,70,132
25,T23,Sungjae Im,73,52.97,125,236
26,T23,Adam Hadwin,54,52.91,91,172
27,34,Trey Mullinax,59,52.72,97,184
28,T39,Sergio Garcia,35,52.38,44,84
29,28,Sam Ryder,48,52.35,89,170
30,T21,Jason Day,39,52.27,69,132
31,32,Talor Gooch,27,52.17,48,92
32,19,Dominic Bozzelli,43,51.43,72,140
33,31,Rickie Fowler,44,51.35,76,148
34,48,Dylan Frittelli,45,51.32,78,152
35,36,Matt Every,26,51.25,41,80
36,27,Nick Watney,55,51.14,90,176
37,T39,Cody Gribble,46,50.71,71,140
38,55,Max Homa,49,50.63,80,158
39,33,Bud Cauley,49,50.61,83,164
40,37,Hudson Swafford,53,50.60,85,168
T41,38,Denny McCarthy,55,50.57,88,174
T41,52,Jhonattan Vegas,52,50.57,88,174
T43,T39,Marc Leishman,46,50.00,74,148
T43,T39,Davis Love III,29,50.00,43,86
T43,35,Hideki Matsuyama,47,50.00,76,152
T43,46,Rory Sabbatini,59,50.00,94,188
47,45,Sung Kang,57,49.47,93,188
48,T53,Martin Trainer,44,49.37,78,158
49,49,Ryan Palmer,42,49.24,65,132
50,50,Joel Dahmen,68,49.08,107,218
51,51,Grayson Murray,36,48.82,62,127
52,47,JuliÃ¡n Etulain,51,48.78,80,164
53,T39,Seth Reeves,46,48.67,73,150
54,58,Aaron Wise,40,48.46,63,130
55,60,Matt Jones,57,48.35,88,182
56,57,James Hahn,34,48.33,58,120
57,59,Emiliano Grillo,53,48.26,83,172
58,69,Bill Haas,46,48.25,69,143
59,62,Patrick Reed,47,48.03,73,152
60,56,Michael Thompson,44,47.97,71,148
61,61,Brandt Snedeker,56,47.96,94,196
62,63,Charles Howell III,57,47.87,90,188
63,89,SebastiÃ¡n MuÃ±oz,50,47.53,77,162
64,999,Tom Lovelady,23,47.50,38,80
65,67,Brian Gay,64,47.47,94,198
66,70,Hank Lebioda,49,47.40,73,154
67,68,Lucas Bjerregaard,29,47.37,36,76
68,77,Webb Simpson,45,47.01,63,134
69,65,Adam Schenk,68,46.93,107,228
T70,T73,Patrick Cantlay,41,46.88,60,128
T70,T73,Ryan Moore,44,46.88,75,160
T70,64,Martin Piller,26,46.88,45,96
73,T53,Stephan Jaeger,51,46.84,74,158
74,75,Rafa Cabrera Bello,45,46.79,73,156
75,90,Chez Reavie,61,46.77,87,186
76,78,Chris Kirk,47,46.71,71,152
77,81,Patrick Rodgers,44,46.58,68,146
T78,T82,Kiradech Aphibarnrat,35,46.49,53,114
T78,T82,Jim Furyk,39,46.49,53,114
80,72,Daniel Berger,32,46.36,51,110
81,79,Brandon Harkins,61,46.35,89,192
82,86,Jordan Spieth,41,46.15,60,130
83,85,Harris English,64,46.12,95,206
T84,87,Charl Schwartzel,34,46.09,53,115
T84,91,Danny Willett,35,46.09,59,128
86,88,Kevin Tway,46,46.05,70,152
87,84,Roger Sloan,51,45.98,80,174
88,94,John Chin,34,45.97,57,124
89,96,Roberto DÃ­az,45,45.89,67,146
T90,66,Kelly Kraft,53,45.83,77,168
T90,T92,Tiger Woods,25,45.83,33,72
92,80,Sam Burns,54,45.81,82,179
93,95,Tommy Fleetwood,39,45.69,53,116
94,110,Ryan Blaum,63,45.50,91,200
95,T97,J.J. Spaun,54,45.45,80,176
96,102,Lucas Glover,54,45.40,79,174
97,76,Ollie Schniederjans,55,45.30,82,181
98,T97,Beau Hossler,52,45.21,85,188
99,101,Abraham Ancer,53,45.12,74,164
100,99,J.T. Poston,64,45.05,91,202
101,T103,Scott Piercy,56,45.00,81,180
102,71,Nate Lashley,34,44.92,53,118
103,105,Kevin Kisner,57,44.87,70,156
104,106,D.A. Points,33,44.83,52,116
105,T108,Haotong Li,24,44.74,34,76
106,T92,Mackenzie Hughes,48,44.67,67,150
107,112,Tyrrell Hatton,34,44.55,49,110
108,113,Andrew Putnam,45,44.52,65,146
109,100,Scott Stallings,53,44.44,80,180
110,107,Cameron Davis,48,44.38,71,160
T111,116,Aaron Baddeley,43,44.30,70,158
T111,122,Jim Knous,49,44.30,70,158
113,117,Kevin Na,44,44.20,61,138
114,121,Keegan Bradley,55,44.12,75,170
115,119,Austin Cook,38,44.07,52,118
116,120,Matthew Fitzpatrick,30,44.00,44,100
117,133,Seamus Power,51,43.75,70,160
118,152,Wes Roach,38,43.65,55,126
119,115,Richy Werenski,57,43.62,82,188
T120,126,Branden Grace,50,43.51,67,154
T120,124,Brendan Steele,44,43.51,67,154
122,125,Nick Taylor,62,43.50,87,200
123,118,Kevin Streelman,55,43.48,80,184
124,111,Jason Kokrak,60,43.37,85,196
T125,128,Brice Garnett,55,43.33,78,180
T125,T130,Russell Knox,51,43.33,65,150
T125,T130,Cameron Smith,49,43.33,65,150
128,123,Carlos Ortiz,50,43.29,71,164
129,T103,Pat Perez,39,43.18,57,132
130,114,Zach Johnson,40,43.08,56,130
131,136,Eddie Pepperell,23,43.06,31,72
132,151,Scott Brown,56,43.02,74,172
133,138,Bronson Burgoon,29,43.00,43,100
134,129,Johnson Wagner,39,42.97,55,128
135,139,Corey Conners,48,42.95,67,156
T136,T146,Ernie Els,40,42.86,54,126
T136,141,Francesco Molinari,33,42.86,42,98
T138,137,Danny Lee,52,42.68,70,164
T138,T108,Jimmy Walker,47,42.68,70,164
T138,143,Matt Wallace,27,42.68,35,82
141,135,Ben Crane,30,42.59,46,108
142,134,Kramer Hickok,51,42.53,74,174
143,127,Sam Saunders,49,42.51,71,167
144,159,Henrik Stenson,30,42.50,34,80
145,148,C.T. Pan,54,42.47,79,186
T146,154,Martin Laird,48,42.41,67,158
T146,149,Graeme McDowell,49,42.41,67,158
148,150,Alex Prugh,49,42.31,66,156
149,145,Sepp Straka,40,42.14,59,140
150,156,Kyle Stanley,49,42.11,64,152
151,140,Kyoung-Hoon Lee,61,41.84,82,196
T152,155,Patton Kizzire,52,41.67,70,168
T152,164,Adam Svensson,47,41.67,65,156
154,T146,Robert Streb,52,41.57,69,166
155,161,Peter Malnati,49,41.33,62,150
156,158,Hunter Mahan,45,41.25,66,160
157,153,Harold Varner III,52,41.07,69,168
158,144,JosÃ© de JesÃºs RodrÃ­guez,45,41.03,64,156
159,162,Charley Hoffman,48,40.85,67,164
160,163,Sean O'Hair,23,40.79,31,76
161,142,Phil Mickelson,35,40.52,47,116
162,165,Alex Noren,33,40.38,42,104
163,157,Vaughn Taylor,57,40.32,75,186
164,169,Ben Silverman,44,40.13,61,152
165,171,Jonas Blixt,54,39.89,71,178
166,172,"Ted Potter, Jr.",48,39.87,63,158
167,184,Chase Wright,48,39.86,59,148
168,160,Sangmoon Bae,36,39.83,47,118
169,185,Jason Dufner,46,39.73,58,146
170,T189,Josh Teater,37,39.68,50,126
171,175,Tyler Duncan,58,39.47,75,190
172,194,John Senden,37,39.23,51,130
173,176,Stewart Cink,33,39.09,43,110
174,177,Billy Horschel,61,39.06,75,192
175,T189,Brian Harman,51,39.02,64,164
176,183,Anders Albertson,44,38.89,56,144
177,166,Peter Uihlein,51,38.86,68,175
T178,T186,Ryan Armour,56,38.83,73,188
T178,179,Brian Stuard,64,38.83,80,206
180,188,Derek Fathauer,24,38.75,31,80
181,181,Justin Harding,23,38.71,24,62
182,193,Anirban Lahiri,44,38.64,51,132
183,182,Andrew Landry,52,38.55,64,166
T184,170,Adam Long,42,38.51,57,148
T184,168,Cameron Tringale,44,38.51,57,148
186,167,Jonathan Byrd,37,38.28,49,128
187,178,Chesson Hadley,50,38.24,65,170
188,174,Freddie Jacobson,35,37.96,41,108
189,180,Chris Stroud,46,37.91,58,153
190,173,Roberto Castro,46,37.84,56,148
191,T186,Tom Hoge,60,37.63,73,194
192,T189,Jim Herman,33,37.27,41,110
193,192,Russell Henley,50,37.16,55,148
194,199,Whee Kim,49,36.77,57,155
195,195,Shawn Stefani,49,36.71,58,158
196,203,Joaquin Niemann,54,36.36,64,176
197,196,Scott Langley,54,36.21,63,174
198,200,Satoshi Kodaira,49,36.08,57,158
199,201,Louis Oosthuizen,35,35.85,38,106
200,197,FabiÃ¡n GÃ³mez,40,35.71,50,140
201,198,Kyle Jones,45,35.62,52,146
202,204,Brady Schnell,32,35.09,40,114
203,205,Alex Cejka,39,34.92,44,126
204,202,Curtis Luck,45,34.67,52,150
205,206,David Hearn,37,34.48,40,116
206,999,Brandon Hagy,23,34.15,28,82
207,207,J.B. Holmes,48,33.77,51,151
208,208,John Huh,35,33.62,39,116
209,209,Michael Kim,43,33.33,50,150
210,210,Chris Thompson,28,32.69,34,104
211,212,Joey Garber,36,31.58,36,114
212,211,J.J. Henry,34,30.19,32,106
213,213,Rod Pampling,32,29.25,31,106
