RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,TOTAL,TOTAL PAR 5 HOLES,TOTAL HOLE OUTS
T1,T1,J.T. Poston,64,9,202,2
T1,T1,Justin Thomas,43,9,132,3
T3,T12,Paul Casey,46,8,152,
T3,T3,Harris English,64,8,206,2
T3,T3,Dylan Frittelli,45,8,152,2
T3,T3,Cody Gribble,46,8,140,3
T3,T3,Emiliano Grillo,53,8,172,1
T3,T3,Brooks Koepka,37,8,108,3
T3,T3,Marc Leishman,46,8,148,
T3,T3,Rory McIlroy,40,8,132,
T3,T12,Keith Mitchell,54,8,170,
T3,T3,Scott Piercy,56,8,180,2
T3,T3,Adam Schenk,68,8,228,3
T14,T12,Keegan Bradley,55,7,170,1
T14,T12,Sam Burns,54,7,179,1
T14,T12,Cameron Champ,48,7,154,1
T14,T12,James Hahn,34,7,120,1
T14,T12,Max Homa,49,7,158,2
T14,T12,Zach Johnson,40,7,130,2
T14,T25,Luke List,46,7,146,4
T14,T25,Adam Long,42,7,148,3
T14,T12,Kevin Na,44,7,138,
T14,T25,Seamus Power,51,7,160,3
T14,T12,Jon Rahm,47,7,148,1
T14,T12,Sam Ryder,48,7,170,2
T14,T12,Xander Schauffele,45,7,152,1
T14,T25,Hudson Swafford,53,7,168,3
T14,T12,Gary Woodland,55,7,175,
T29,T42,Joel Dahmen,68,6,218,2
T29,T25,Tommy Fleetwood,39,6,116,1
T29,T25,Rickie Fowler,44,6,148,2
T29,T25,Branden Grace,50,6,154,2
T29,T25,Adam Hadwin,54,6,172,3
T29,T25,Sungjae Im,73,6,236,1
T29,T25,Matt Jones,57,6,182,1
T29,T25,Chris Kirk,47,6,152,2
T29,T25,Martin Laird,48,6,158,3
T29,T25,Trey Mullinax,59,6,184,1
T29,T25,Joaquin Niemann,54,6,176,1
T29,T25,Patrick Rodgers,44,6,146,
T29,T25,Kyle Stanley,49,6,152,1
T29,T25,Jhonattan Vegas,52,6,174,1
T43,T42,Ryan Blaum,63,5,200,2
T43,T42,Tony Finau,51,5,162,1
T43,T42,Brian Gay,64,5,198,1
T43,T42,FabiÃ¡n GÃ³mez,40,5,140,
T43,T42,Charley Hoffman,48,5,164,
T43,T42,Billy Horschel,61,5,192,
T43,T42,Charles Howell III,57,5,188,
T43,T42,Sung Kang,57,5,188,2
T43,T42,Matt Kuchar,55,5,160,
T43,T42,Scott Langley,54,5,174,2
T43,T42,Ryan Moore,44,5,160,1
T43,T42,Grayson Murray,36,5,127,
T43,T42,Carlos Ortiz,50,5,164,1
T43,T42,Alex Prugh,49,5,156,2
T43,T42,Chez Reavie,61,5,186,
T43,T42,Seth Reeves,46,5,150,2
T43,T42,Roger Sloan,51,5,174,2
T43,T42,Scott Stallings,53,5,180,3
T43,T42,Chris Stroud,46,5,153,3
T43,T42,Adam Svensson,47,5,156,
T43,T42,Bubba Watson,41,5,120,1
T43,T88,Richy Werenski,57,5,188,3
T65,T64,Abraham Ancer,53,4,164,1
T65,T64,Sangmoon Bae,36,4,118,
T65,T64,Scott Brown,56,4,172,2
T65,T64,Jonathan Byrd,37,4,128,1
T65,T64,Rafa Cabrera Bello,45,4,156,
T65,T64,Bud Cauley,49,4,164,
T65,T64,Tyler Duncan,58,4,190,2
T65,T88,JuliÃ¡n Etulain,51,4,164,1
T65,T64,Brice Garnett,55,4,180,
T65,T64,Bill Haas,46,4,143,
T65,T64,Mackenzie Hughes,48,4,150,2
T65,T64,Stephan Jaeger,51,4,158,
T65,T64,Russell Knox,51,4,150,1
T65,T64,Davis Love III,29,4,86,1
T65,T64,Hunter Mahan,45,4,160,2
T65,T64,Graeme McDowell,49,4,158,1
T65,T64,Troy Merritt,32,4,94,1
T65,T64,SebastiÃ¡n MuÃ±oz,50,4,162,2
T65,T64,C.T. Pan,54,4,186,2
T65,T64,Patrick Reed,47,4,152,1
T65,T88,Wes Roach,38,4,126,1
T65,T64,Rory Sabbatini,59,4,188,
T65,T64,Adam Scott,33,4,112,
T65,T64,Webb Simpson,45,4,134,
T65,T64,Michael Thompson,44,4,148,2
T65,T64,Nick Watney,55,4,176,1
T91,T127,Anders Albertson,44,3,144,
T91,T88,Byeong Hun An,44,3,143,1
T91,T88,Lucas Bjerregaard,29,3,76,
T91,T88,Dominic Bozzelli,43,3,140,1
T91,T88,Patrick Cantlay,41,3,128,
T91,T88,Roberto Castro,46,3,148,1
T91,T88,Stewart Cink,33,3,110,1
T91,T88,Wyndham Clark,55,3,182,
T91,T88,Corey Conners,48,3,156,1
T91,T88,Cameron Davis,48,3,160,1
T91,T88,Bryson DeChambeau,37,3,114,3
T91,T127,Jason Dufner,46,3,146,2
T91,T88,Matthew Fitzpatrick,30,3,100,1
T91,T88,Joey Garber,36,3,114,1
T91,T88,Lucas Glover,54,3,174,2
T91,T88,Brian Harman,51,3,164,1
T91,T88,Kramer Hickok,51,3,174,2
T91,T88,Tom Hoge,60,3,194,
T91,T88,Beau Hossler,52,3,188,
T91,T88,Freddie Jacobson,35,3,108,1
T91,T88,Si Woo Kim,57,3,188,
T91,T88,Jim Knous,49,3,158,1
T91,T88,Jason Kokrak,60,3,196,
T91,T88,Kelly Kraft,53,3,168,1
T91,T88,Danny Lee,52,3,164,1
T91,T88,Kyoung-Hoon Lee,61,3,196,2
T91,T88,Denny McCarthy,55,3,174,
T91,T88,Pat Perez,39,3,132,
T91,T88,Justin Rose,30,3,100,
T91,T88,Ollie Schniederjans,55,3,181,2
T91,T88,Cameron Smith,49,3,150,
T91,T88,Brendan Steele,44,3,154,
T91,T88,Vaughn Taylor,57,3,186,1
T91,T88,Nick Taylor,62,3,200,
T91,T88,Martin Trainer,44,3,158,
T91,T88,Johnson Wagner,39,3,128,
T91,T88,Matt Wallace,27,3,82,1
T91,T88,Tiger Woods,25,3,72,
T129,T127,Aaron Baddeley,43,2,158,
T129,T127,Jonas Blixt,54,2,178,
T129,T127,John Chin,34,2,124,1
T129,T127,Austin Cook,38,2,118,2
T129,T127,Jason Day,39,2,132,
T129,T127,Ernie Els,40,2,126,
T129,T127,Matt Every,26,2,80,
T129,T172,Sergio Garcia,35,2,84,
T129,T127,Talor Gooch,27,2,92,1
T129,T127,Chesson Hadley,50,2,170,
T129,999,Brandon Hagy,23,2,82,1
T129,T127,Justin Harding,23,2,62,
T129,T127,Brandon Harkins,61,2,192,1
T129,T127,Tyrrell Hatton,34,2,110,
T129,T127,John Huh,35,2,116,1
T129,T127,Kyle Jones,45,2,146,
T129,T127,Michael Kim,43,2,150,1
T129,T127,Kevin Kisner,57,2,156,1
T129,T127,Patton Kizzire,52,2,168,
T129,T127,Satoshi Kodaira,49,2,158,
T129,T127,Nate Lashley,34,2,118,1
T129,T127,Hank Lebioda,49,2,154,2
T129,T127,Haotong Li,24,2,76,
T129,T127,Hideki Matsuyama,47,2,152,1
T129,T127,Phil Mickelson,35,2,116,
T129,T127,Sean O'Hair,23,2,76,1
T129,T127,Louis Oosthuizen,35,2,106,2
T129,T127,Ian Poulter,43,2,128,1
T129,T127,JosÃ© de JesÃºs RodrÃ­guez,45,2,156,2
T129,T127,Sam Saunders,49,2,167,1
T129,T127,Brady Schnell,32,2,114,2
T129,T127,Charl Schwartzel,34,2,115,
T129,T127,John Senden,37,2,130,
T129,T127,Brandt Snedeker,56,2,196,1
T129,T127,Jordan Spieth,41,2,130,2
T129,T127,Shawn Stefani,49,2,158,
T129,T127,Sepp Straka,40,2,140,
T129,T127,Robert Streb,52,2,166,1
T129,T127,Brian Stuard,64,2,206,
T129,T127,Josh Teater,37,2,126,
T129,T127,Cameron Tringale,44,2,148,
T129,T127,Kevin Tway,46,2,152,
