Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Ryan Spann (14505880),Ryan Spann,14505880,F,9300,Alvey@Spann 05/09/2020 06:00PM ET,Spann,88.67
F,Fabricio Werdum (14505874),Fabricio Werdum,14505874,F,9200,Oleinik@Werdum 05/09/2020 06:00PM ET,Werdum,77.34
F,Francis Ngannou (14505878),Francis Ngannou,14505878,F,9100,Ngannou@Rozenstruik 05/09/2020 06:00PM ET,Ngannou,81.09
F,Vicente Luque (14505870),Vicente Luque,14505870,F,9000,Luque@Price 05/09/2020 06:00PM ET,Luque,89.81
F,Calvin Kattar (14505868),Calvin Kattar,14505868,F,8900,Kattar@Stephens 05/09/2020 06:00PM ET,Kattar,76.42
F,Henry Cejudo (14505872),Henry Cejudo,14505872,F,8800,Cejudo@Cruz 05/09/2020 06:00PM ET,Cejudo,75.36
F,Tony Ferguson (14505864),Tony Ferguson,14505864,F,8700,Ferguson@Gaethje 05/09/2020 06:00PM ET,Ferguson,94.88
F,Greg Hardy (14505876),Greg Hardy,14505876,F,8600,De Castro@Hardy 05/09/2020 06:00PM ET,Hardy,53.9
F,Bryce Mitchell (14505886),Bryce Mitchell,14505886,F,8500,Mitchell@Rosa 05/09/2020 06:00PM ET,Mitchell,74.5
F,Carla Esparza (14505884),Carla Esparza,14505884,F,8400,Esparza@Waterson 05/09/2020 06:00PM ET,Esparza,59.3
F,Jacare Souza (14505866),Jacare Souza,14505866,F,8300,Hall@Souza 05/09/2020 06:00PM ET,Souza,75.86
F,Anthony Pettis (14505882),Anthony Pettis,14505882,F,8200,Cerrone@Pettis 05/09/2020 06:00PM ET,Pettis,60.28
F,Donald Cerrone (14505883),Donald Cerrone,14505883,F,8000,Cerrone@Pettis 05/09/2020 06:00PM ET,Cerrone,77.04
F,Uriah Hall (14505867),Uriah Hall,14505867,F,7900,Hall@Souza 05/09/2020 06:00PM ET,Hall,57.77
F,Michelle Waterson (14505885),Michelle Waterson,14505885,F,7800,Esparza@Waterson 05/09/2020 06:00PM ET,Waterson,68.38
F,Charles Rosa (14505887),Charles Rosa,14505887,F,7700,Mitchell@Rosa 05/09/2020 06:00PM ET,Rosa,72.67
F,Yorgan De Castro (14505877),Yorgan De Castro,14505877,F,7600,De Castro@Hardy 05/09/2020 06:00PM ET,De Castro,102
F,Justin Gaethje (14505865),Justin Gaethje,14505865,F,7500,Ferguson@Gaethje 05/09/2020 06:00PM ET,Gaethje,95.67
F,Dominick Cruz (14505873),Dominick Cruz,14505873,F,7400,Cejudo@Cruz 05/09/2020 06:00PM ET,Cruz,101.58
F,Jeremy Stephens (14505869),Jeremy Stephens,14505869,F,7300,Kattar@Stephens 05/09/2020 06:00PM ET,Stephens,53.70
F,Niko Price (14505871),Niko Price,14505871,F,7200,Luque@Price 05/09/2020 06:00PM ET,Price,76.45
F,Jairzinho Rozenstruik (14505879),Jairzinho Rozenstruik,14505879,F,7100,Ngannou@Rozenstruik 05/09/2020 06:00PM ET,Rozenstruik,98.38
F,Aleksei Oleinik (14505875),Aleksei Oleinik,14505875,F,7000,Oleinik@Werdum 05/09/2020 06:00PM ET,Oleinik,73.54
F,Sam Alvey (14505881),Sam Alvey,14505881,F,6900,Alvey@Spann 05/09/2020 06:00PM ET,Alvey,54.89
