Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.
,Donald Cerrone,,View
win,Khabib Nurmagomedov,22,7,2,5,Lightweight,SUB,3,2:06
win,Paul Felder,56,0,0,0,Lightweight,S-DEC,3,5:00
win,Islam Makhachev,43,0,0,0,Lightweight,U-DEC,3,5:00
win,Curtis Blaydes,25,5,0,3,Heavyweight,KO/TKO,2,2:22
win,Diego Ferreira,109,0,0,0,Lightweight,U-DEC,3,5:00
win,Joanne Calderwood,101,2,0,1,Women's Flyweight,S-DEC,3,5:00
draw,Zubaira Tukhugov,22,6,0,2,Featherweight,S-DEC,3,5:00
win,Sarah Moras,44,0,1,1,Women's Bantamweight,KO/TKO,3,2:26
win,Ottman Azaitar,27,0,0,0,Lightweight,KO/TKO,1,3:33
win,Belal Muhammad,49,2,1,2,Welterweight,SUB,3,1:55
win,Muslim Salikhov,10,0,0,0,Welterweight,KO/TKO,1,4:26
win,Omari Akhmedov,26,2,0,3,Middleweight,U-DEC,3,5:00
win,Don Madge,21,3,0,2,Lightweight,U-DEC,3,5:00
win,Weili Zhang,29,0,0,0,Women's Strawweight,KO/TKO,1,0:42
win,Jingliang Li,59,2,0,0,Welterweight,KO/TKO,3,4:51
win,Kai Kara-France,91,1,0,0,Flyweight,U-DEC,3,5:00
win,Kenan Song,58,0,0,0,Welterweight,U-DEC,3,5:00
win,Mizuki Inoue,93,0,0,0,Women's Flyweight,S-DEC,3,5:00
win,Anthony Hernandez,59,6,1,1,Middleweight,SUB,2,4:39
win,Su Mudaerji,93,1,0,3,Bantamweight,U-DEC,3,5:00
win,Da Un Jung,81,0,1,0,Light Heavyweight,SUB,3,1:59
win,Damir Ismagulov,71,0,0,0,Lightweight,U-DEC,3,5:00
win,Heili Alateng,36,3,0,2,Bantamweight,U-DEC,3,5:00
win,Karol Rosa,171,0,0,0,Women's Bantamweight,S-DEC,3,5:00
win,Stipe Miocic,123,1,0,0,Heavyweight,KO/TKO,4,4:09
win,Nate Diaz,114,1,0,4,Welterweight,U-DEC,3,5:00
win,Paulo Costa,118,0,0,0,Middleweight,U-DEC,3,5:00
win,Sodiq Yusuff,34,0,0,0,Featherweight,KO/TKO,1,4:14
win,Derek Brunson,81,2,0,1,Middleweight,U-DEC,3,5:00
win,Khama Worthy,21,0,0,0,Lightweight,KO/TKO,1,4:15
win,Cory Sandhagen,62,0,0,0,Bantamweight,U-DEC,3,5:00
win,Drakkar Klose,99,2,0,2,Lightweight,U-DEC,3,5:00
win,Casey Kenney,43,2,1,7,Catch Weight,U-DEC,3,5:00
win,Hannah Cifers,70,1,1,0,Women's Strawweight,U-DEC,3,5:00
win,Kyung Ho Kang,50,3,0,3,Bantamweight,S-DEC,3,5:00
win,Sabina Mazo,108,4,0,3,Women's Flyweight,U-DEC,3,5:00
win,Valentina Shevchenko,42,1,0,3,Women's Flyweight,U-DEC,5,5:00
win,Vicente Luque,84,0,1,0,Welterweight,S-DEC,3,5:00
win,Eduardo Garagorri,65,1,0,1,Featherweight,U-DEC,3,5:00
win,Volkan Oezdemir,64,0,0,0,Light Heavyweight,KO/TKO,2,4:31
win,Rodolfo Vieira,18,3,1,4,Middleweight,SUB,2,4:26
win,Enrique Barzola,83,3,0,0,Featherweight,S-DEC,3,5:00
win,Gilbert Burns,42,3,0,2,Welterweight,U-DEC,3,5:00
win,Ciryl Gane,15,0,1,1,Heavyweight,SUB,1,4:12
win,Marina Rodriguez,84,1,1,0,Women's Strawweight,U-DEC,3,5:00
win,Rogerio Bontorin,8,2,0,1,Flyweight,KO/TKO,1,2:56
win,Chris Gutierrez,48,1,0,0,Bantamweight,S-DEC,3,5:00
win,Alex Da Silva,17,3,0,4,Lightweight,U-DEC,3,5:00
win,Veronica Macedo,1,0,1,0,Women's Flyweight,SUB,1,1:09
win,Colby Covington,179,10,0,0,Welterweight,U-DEC,5,5:00
win,Jim Miller,2,0,1,0,Lightweight,SUB,1,0:58
win,Nasrat Haqparast,21,0,0,0,Lightweight,KO/TKO,2,0:36
win,Gerald Meerschaert,6,1,1,2,Middleweight,SUB,3,1:49
win,Scott Holtzman,44,1,0,3,Lightweight,KO/TKO,2,5:00
win,Kennedy Nzechukwu,50,0,0,0,Light Heavyweight,U-DEC,3,5:00
win,Mickey Gall,50,1,0,1,Welterweight,U-DEC,3,5:00
win,Antonina Shevchenko,16,0,3,1,Women's Flyweight,SUB,2,1:20
win,Matt Schnell,3,0,1,0,Flyweight,SUB,1,1:23
win,Lauren Murphy,24,0,0,1,Women's Flyweight,KO/TKO,3,1:46
win,Claudio Silva,32,1,1,1,Welterweight,SUB,1,2:35
win,Miranda Granger,61,0,0,0,Women's Flyweight,U-DEC,3,5:00
win,Max Holloway,129,0,0,0,Featherweight,U-DEC,5,5:00
win,Cris Cyborg,122,0,0,1,Women's Featherweight,U-DEC,3,5:00
win,Geoff Neal,41,2,0,2,Welterweight,KO/TKO,2,2:39
win,Arman Tsarukyan,47,2,0,0,Lightweight,U-DEC,3,5:00
win,Krzysztof Jotko,40,1,0,0,Middleweight,S-DEC,3,5:00
win,Viviane Araujo,67,2,0,0,Women's Flyweight,U-DEC,3,5:00
win,Hakeem Dawodu,80,0,0,0,Featherweight,KO/TKO,3,4:09
win,Gavin Tucker,37,5,2,3,Featherweight,SUB,3,3:17
win,Deiveson Figueiredo,67,2,0,2,Flyweight,U-DEC,3,5:00
win,Gillian Robertson,29,2,0,4,Women's Flyweight,KO/TKO,2,4:13
win,Erik Koch,37,4,0,4,Welterweight,U-DEC,3,5:00
win,Leon Edwards,92,3,0,2,Welterweight,U-DEC,5,5:00
win,Walt Harris,4,0,0,0,Heavyweight,KO/TKO,1,0:12
win,Greg Hardy,36,0,0,0,Heavyweight,KO/TKO,1,0:45
win,Dan Hooker,22,0,0,0,Lightweight,KO/TKO,1,2:33
win,Alexander Hernandez,25,0,0,0,Lightweight,U-DEC,3,5:00
win,Andrei Arlovski,152,0,0,0,Heavyweight,U-DEC,3,5:00
win,Alex Caceres,94,0,0,0,Featherweight,U-DEC,3,5:00
win,Raquel Pennington,47,1,0,1,Women's Bantamweight,S-DEC,3,5:00
win,Klidson Abreu,36,1,0,1,Light Heavyweight,U-DEC,3,5:00
win,Jennifer Maia,83,0,0,0,Women's Flyweight,U-DEC,3,5:00
win,Ray Borg,15,6,1,7,Bantamweight,U-DEC,3,5:00
win,Mario Bautista,129,0,0,0,Bantamweight,U-DEC,3,5:00
win,Felipe Colares,23,2,0,1,Bantamweight,S-DEC,3,5:00
win,Germaine de Randamie,4,0,0,0,Women's Bantamweight,KO/TKO,1,0:16
win,Urijah Faber,11,0,0,0,Bantamweight,KO/TKO,1,0:46
win,Josh Emmett,27,0,0,1,Featherweight,KO/TKO,1,4:25
win,Karl Roberson,50,0,0,1,Middleweight,S-DEC,3,5:00
win,Marvin Vettori,78,2,0,2,Middleweight,U-DEC,3,5:00
win,John Allan,55,4,3,3,Light Heavyweight,U-DEC,3,5:00
win,Andre Fili,19,0,0,0,Featherweight,KO/TKO,1,3:07
win,Julianna Pena,45,2,0,2,Women's Bantamweight,U-DEC,3,5:00
win,Ryan Hall,36,0,1,0,Featherweight,U-DEC,3,5:00
win,Jonathan Martinez,32,0,0,0,Bantamweight,KO/TKO,3,3:54
win,Brianna Van Buren,72,3,0,0,Women's Strawweight,U-DEC,3,5:00
win,Benito Lopez,54,0,0,0,Bantamweight,U-DEC,3,5:00
win,Jon Jones,59,0,0,0,Light Heavyweight,S-DEC,5,5:00
win,Amanda Nunes,17,0,0,0,Women's Bantamweight,KO/TKO,1,4:10
win,Jorge Masvidal,3,0,0,0,Welterweight,KO/TKO,1,0:05
win,Jan Blachowicz,30,0,0,0,Light Heavyweight,KO/TKO,2,1:39
win,Michael Chiesa,47,5,0,8,Welterweight,U-DEC,3,5:00
win,Arnold Allen,102,1,0,0,Featherweight,U-DEC,3,5:00
win,Marlon Vera,10,1,1,2,Bantamweight,SUB,2,3:25
win,Claudia Gadelha,40,0,0,0,Women's Strawweight,U-DEC,3,5:00
win,Song Yadong,8,0,0,0,Bantamweight,KO/TKO,1,2:04
win,Edmen Shahbazyan,13,1,1,2,Middleweight,SUB,1,1:12
win,Chance Rencountre,4,2,0,4,Welterweight,U-DEC,3,5:00
win,Julia Avila,49,0,0,2,Women's Bantamweight,U-DEC,3,5:00
win,Francis Ngannou,9,0,0,0,Heavyweight,KO/TKO,1,1:11
win,Joseph Benavidez,50,0,0,1,Flyweight,KO/TKO,2,4:47
win,Demian Maia,3,3,0,4,Welterweight,M-DEC,3,5:00
win,Vinc Pichel,60,3,1,6,Lightweight,U-DEC,3,5:00
win,Drew Dober,16,0,0,0,Lightweight,KO/TKO,1,1:07
win,Alonzo Menifield,8,0,0,0,Light Heavyweight,KO/TKO,1,3:19
win,Ricardo Ramos,40,3,0,3,Bantamweight,U-DEC,3,5:00
win,Eryk Anders,11,0,0,0,Light Heavyweight,KO/TKO,1,1:18
win,Jared Gordon,48,2,0,5,Lightweight,U-DEC,3,5:00
win,Dalcha Lungiambula,32,4,0,4,Light Heavyweight,KO/TKO,3,0:42
win,Amanda Ribas,21,2,2,3,Women's Strawweight,SUB,2,2:10
win,Maurice Greene,37,0,0,2,Heavyweight,KO/TKO,1,3:38
win,Chan Sung Jung,16,0,0,2,Featherweight,KO/TKO,1,0:58
win,Randy Brown,89,0,0,0,Welterweight,KO/TKO,3,2:54
win,Andre Ewell,73,0,0,0,Bantamweight,U-DEC,3,5:00
win,Andrea Lee,73,1,0,2,Women's Flyweight,U-DEC,3,5:00
win,Kevin Holland,58,0,0,0,Middleweight,U-DEC,3,5:00
win,Dan Ige,71,1,0,3,Featherweight,U-DEC,3,5:00
win,Ashley Yoder,75,1,0,8,Women's Strawweight,U-DEC,3,5:00
win,Luis Pena,87,1,1,7,Lightweight,KO/TKO,3,1:14
win,Jairzinho Rozenstruik,4,0,0,0,Heavyweight,KO/TKO,1,0:09
win,Molly McCann,108,2,0,2,Women's Flyweight,U-DEC,3,5:00
win,Deron Winn,169,0,0,0,Middleweight,U-DEC,3,5:00
win,Henry Cejudo,90,1,1,1,Bantamweight,KO/TKO,3,4:51
win,Valentina Shevchenko,8,2,1,3,Women's Flyweight,KO/TKO,2,0:26
win,Tony Ferguson,104,0,0,0,Lightweight,KO/TKO,2,5:00
win,Petr Yan,56,1,0,1,Bantamweight,U-DEC,3,5:00
win,Blagoy Ivanov,73,2,0,0,Heavyweight,U-DEC,3,5:00
win,Tatiana Suarez,75,4,0,2,Women's Strawweight,U-DEC,3,5:00
win,Aljamain Sterling,174,0,0,0,Bantamweight,U-DEC,3,5:00
win,Alexa Grasso,148,0,1,0,Women's Strawweight,U-DEC,3,5:00
win,Calvin Kattar,22,0,0,0,Featherweight,KO/TKO,1,4:06
win,Yan Xiaonan,94,1,0,1,Women's Strawweight,U-DEC,3,5:00
win,Darren Stewart,30,0,0,0,Middleweight,U-DEC,3,5:00
win,Eddie Wineland,74,0,0,0,Bantamweight,KO/TKO,2,4:47
win,Katlyn Chookagian,82,0,0,0,Women's Flyweight,U-DEC,3,5:00
win,Anthony Smith,49,0,1,1,Light Heavyweight,SUB,4,2:38
win,Aleksandar Rakic,2,0,0,0,Light Heavyweight,KO/TKO,1,0:47
win,Makwan Amirkhani,9,1,1,2,Featherweight,SUB,2,4:25
win,Christos Giagos,47,6,0,3,Lightweight,U-DEC,3,5:00
win,Daniel Teymur,40,1,0,0,Featherweight,U-DEC,3,5:00
win,Sergey Khandozhko,60,1,0,1,Welterweight,U-DEC,3,5:00
win,Lina Lansberg,50,1,0,2,Women's Bantamweight,U-DEC,3,5:00
win,Leonardo Santos,12,0,0,0,Lightweight,KO/TKO,1,2:17
win,Frank Camacho,100,0,0,0,Lightweight,KO/TKO,2,4:56
win,Bea Malecki,19,0,2,1,Women's Bantamweight,SUB,2,1:59
win,Devin Clark,40,2,0,0,Light Heavyweight,U-DEC,3,5:00
win,Joel Alvarez,19,0,0,1,Lightweight,KO/TKO,2,2:22
win,Rafael Dos Anjos,60,4,1,4,Welterweight,SUB,4,3:47
win,Ian Heinisch,39,1,0,5,Middleweight,U-DEC,3,5:00
win,Felicia Spencer,22,1,1,1,Women's Featherweight,SUB,1,3:24
win,Vicente Luque,18,0,0,0,Welterweight,KO/TKO,1,3:52
win,Charles Oliveira,38,0,1,3,Lightweight,KO/TKO,2,2:11
win,Davi Ramos,63,3,0,3,Lightweight,U-DEC,3,5:00
win,Aspen Ladd,69,3,3,6,Women's Bantamweight,U-DEC,3,5:00
win,Desmond Green,78,4,0,1,Lightweight,U-DEC,3,5:00
win,Michel Pereira,6,0,0,0,Welterweight,KO/TKO,1,1:47
win,Grant Dawson,27,3,1,4,Featherweight,SUB,2,2:27
win,Ed Herman,11,0,0,0,Light Heavyweight,KO/TKO,1,3:39
win,Zak Cummings,34,0,1,0,Middleweight,SUB,3,4:01
win,Julio Arce,74,1,0,0,Featherweight,KO/TKO,3,1:49
win,Jessica Andrade,47,2,0,0,Women's Strawweight,KO/TKO,2,2:58
win,Jared Cannonier,17,0,0,0,Middleweight,KO/TKO,1,4:47
win,Alexander Volkanovski,95,0,0,0,Featherweight,U-DEC,3,5:00
win,Laureano Staropoli,54,1,0,0,Welterweight,U-DEC,3,5:00
win,Irene Aldana,83,0,1,1,Women's Bantamweight,SUB,3,3:24
win,Ryan Spann,13,1,1,1,Light Heavyweight,KO/TKO,1,2:07
win,Thiago Moises,66,4,1,4,Lightweight,U-DEC,3,5:00
win,Warlley Alves,72,0,0,0,Welterweight,KO/TKO,3,4:13
win,Clay Guida,80,1,0,0,Lightweight,U-DEC,3,5:00
win,Luana Carolina,111,0,3,1,Women's Flyweight,U-DEC,3,5:00
