Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.
Khabib Nurmagomedov,0,22 of 41,53%,54 of 77,7 of 8,87%,2,5,0
Paul Felder,0,56 of 154,36%,75 of 174,0 of 2,0%,0,0,0
Islam Makhachev,1,43 of 95,45%,88 of 148,0 of 1,0%,0,0,0
Curtis Blaydes,0,25 of 43,58%,46 of 74,5 of 5,100%,0,3,0
Diego Ferreira,0,109 of 326,33%,112 of 329,0 of 2,0%,0,0,0
Joanne Calderwood,0,101 of 230,43%,158 of 293,2 of 4,50%,0,1,0
Sarah Moras,0,44 of 88,50%,130 of 191,0 of 0,0%,1,1,1
Ottman Azaitar,1,27 of 53,50%,27 of 53,0 of 0,0%,0,0,0
Belal Muhammad,0,49 of 106,46%,78 of 148,2 of 9,22%,1,2,0
Muslim Salikhov,1,10 of 23,43%,10 of 23,0 of 0,0%,0,0,0
Omari Akhmedov,0,26 of 77,33%,47 of 106,2 of 3,66%,0,3,0
Don Madge,0,21 of 49,42%,72 of 111,3 of 12,25%,0,2,0
Weili Zhang,1,29 of 38,76%,29 of 38,0 of 0,0%,0,0,0
Jingliang Li,3,59 of 128,46%,59 of 128,2 of 3,66%,0,0,0
Kai Kara-France,1,91 of 193,47%,93 of 195,1 of 1,100%,0,0,0
Kenan Song,0,58 of 128,45%,61 of 131,0 of 0,0%,0,0,1
Mizuki Inoue,0,93 of 204,45%,102 of 214,0 of 4,0%,0,0,0
Anthony Hernandez,0,59 of 110,53%,74 of 129,6 of 9,66%,1,1,0
Su Mudaerji,0,93 of 157,59%,103 of 168,1 of 1,100%,0,3,0
Da Un Jung,0,81 of 190,42%,86 of 195,0 of 1,0%,1,0,0
Damir Ismagulov,1,71 of 188,37%,73 of 191,0 of 5,0%,0,0,0
Heili Alateng,0,36 of 89,40%,63 of 133,3 of 7,42%,0,2,0
Karol Rosa,1,171 of 351,48%,177 of 358,0 of 0,0%,0,0,0
Stipe Miocic,1,123 of 229,53%,135 of 244,1 of 3,33%,0,0,0
Nate Diaz,1,114 of 201,56%,205 of 306,1 of 1,100%,0,4,1
Paulo Costa,1,118 of 213,55%,118 of 213,0 of 0,0%,0,0,0
Sodiq Yusuff,1,34 of 79,43%,34 of 79,0 of 0,0%,0,0,0
Derek Brunson,0,81 of 185,43%,102 of 207,2 of 10,20%,0,1,0
Khama Worthy,1,21 of 51,41%,21 of 51,0 of 0,0%,0,0,0
Cory Sandhagen,0,62 of 116,53%,78 of 135,0 of 1,0%,0,0,1
Drakkar Klose,0,99 of 160,61%,159 of 223,2 of 7,28%,0,2,0
Casey Kenney,0,43 of 69,62%,56 of 85,2 of 2,100%,1,7,1
Hannah Cifers,0,70 of 164,42%,112 of 207,1 of 1,100%,1,0,0
Kyung Ho Kang,1,50 of 101,49%,120 of 180,3 of 6,50%,0,3,0
Sabina Mazo,0,108 of 171,63%,170 of 250,4 of 4,100%,0,3,0
Valentina Shevchenko,0,42 of 115,36%,84 of 159,1 of 1,100%,0,3,0
Vicente Luque,0,84 of 179,46%,85 of 180,0 of 0,0%,1,0,0
Eduardo Garagorri,0,65 of 115,56%,69 of 120,1 of 1,100%,0,1,0
Volkan Oezdemir,2,64 of 137,46%,92 of 166,0 of 0,0%,0,0,0
Rodolfo Vieira,0,18 of 39,46%,37 of 62,3 of 7,42%,1,4,0
Enrique Barzola,0,83 of 239,34%,88 of 244,3 of 7,42%,0,0,0
Gilbert Burns,0,42 of 83,50%,63 of 107,3 of 7,42%,0,2,0
Ciryl Gane,0,15 of 22,68%,20 of 28,0 of 1,0%,1,1,0
Marina Rodriguez,0,84 of 167,50%,98 of 186,1 of 4,25%,1,0,0
Rogerio Bontorin,0,8 of 15,53%,8 of 16,2 of 5,40%,0,1,0
Chris Gutierrez,0,48 of 86,55%,49 of 87,1 of 2,50%,0,0,1
Alex Da Silva,0,17 of 39,43%,88 of 130,3 of 4,75%,0,4,0
